method,predicted_mass_change_kg,observed_mass_change_kg,absolute_mismatch_kg,inlet_mass_normalizer_kg,closure,wall_kg,inlet_kg,outlet_01_kg,outlet_02_kg,outlet_03_kg
left_rectangle,3.8652117031321884e-22,2.870537141319573e-33,3.865211703103483e-22,1.8855407171324883e-19,0.002049922161841012,1.39730831184269e-21,1.8855407171327117e-19,-9.827742796305992e-21,-1.387933507441398e-19,-4.0943765314354834e-20
right_rectangle,3.865211703110943e-22,2.870537141319573e-33,3.8652117030822374e-22,1.8855407171324883e-19,0.0020499221618297445,1.3973083118389235e-21,1.8855407171327334e-19,-9.827742796306433e-21,-1.3879335074413998e-19,-4.094376531435477e-20
trapezoidal,3.8652117031214754e-22,2.870537141319573e-33,3.86521170309277e-22,1.8855407171324883e-19,0.0020499221618353303,1.3973083118408067e-21,1.8855407171327225e-19,-9.827742796306211e-21,-1.387933507441399e-19,-4.09437653143548e-20
timestep_phase_shifted,3.8652117031212347e-22,2.870537141319573e-33,3.865211703092529e-22,1.8855407171324883e-19,0.002049922161835203,1.3973083118408656e-21,1.8855407171327218e-19,-9.827742796306205e-21,-1.387933507441399e-19,-4.09437653143548e-20
