iteration,physical_time_s,wall_clock_s,total_density
12100,0.0002954101562499715,264.937628942,221264.6695217
12200,0.0002978515624999712,267.13316824,221265.5586042
12300,0.00030029296874997094,269.310581232,221266.4456143
12400,0.00030273437499997067,271.540694701,221267.330566
12500,0.0003051757812499704,273.851078861,221268.2134728
12600,0.00030761718749997013,276.031714179,221269.0943479
12700,0.00031005859374996986,278.315104914,221269.9732043
12800,0.0003124999999999696,280.479798511,221270.8500545
12900,0.0003149414062499693,282.77802853,221271.7249109
13000,0.00031738281249996906,284.923176004,221272.5977855
13100,0.0003198242187499688,287.191529164,221273.4686901
13200,0.0003222656249999685,289.388669393,221274.3376359
13300,0.00032470703124996825,291.494852767,221275.2046343
13400,0.000327148437499968,293.773797609,221276.0696962
13500,0.0003295898437499677,295.909846787,221276.9328322
13600,0.00033203124999996744,298.394509285,221277.7940528
13700,0.0003344726562499672,300.605194735,221278.6533681
13800,0.0003369140624999669,302.911529867,221279.5107882
13900,0.00033935546874996664,305.19237284,221280.3663227
14000,0.00034179687499996637,307.481820207,221281.2199812
14100,0.0003442382812499661,309.644852424,221282.0717731
14200,0.00034667968749996583,311.963654932,221282.9217073
14300,0.00034912109374996556,314.170417287,221283.7697929
14400,0.0003515624999999653,316.354024824,221284.6160385
14500,0.000354003906249965,318.493453755,221285.4604527
14600,0.00035644531249996475,320.680600049,221286.3030439
14700,0.0003588867187499645,322.919356898,221287.1438201
14800,0.0003613281249999642,325.031850654,221287.9827896
14900,0.00036376953124996395,327.253782319,221288.8199599
15000,0.0003662109374999637,329.375643664,221289.655339
15100,0.0003686523437499634,331.696804998,221290.4889342
15200,0.00037109374999996314,334.194443687,221291.3207531
15300,0.00037353515624996287,336.792066514,221292.1508027
15400,0.0003759765624999626,339.124566542,221292.9790902
15500,0.00037841796874996233,341.51836702,221293.8056226
15600,0.00038085937499996207,343.82744179,221294.6304067
15700,0.0003833007812499618,346.180375443,221295.4534491
15800,0.00038574218749996153,348.450640657,221296.2747565
15900,0.00038818359374996126,350.695626234,221297.0943352
16000,0.000390624999999961,352.818951428,221297.9121916
16100,0.0003930664062499607,355.102081997,221298.7283319
16200,0.00039550781249996045,357.20092203,221299.5427623
16300,0.0003979492187499602,359.412130364,221300.3554886
16400,0.0004003906249999599,361.608059865,221301.1665167
16500,0.00040283203124995965,363.728242367,221301.9758525
16600,0.0004052734374999594,365.958056763,221302.7835017
16700,0.0004077148437499591,368.078837396,221303.5894697
16800,0.00041015624999995884,370.418369358,221304.3937622
16900,0.00041259765624995857,372.576287694,221305.1963844
17000,0.0004150390624999583,374.976740884,221305.9973418
17100,0.00041748046874995803,377.131999378,221306.7966395
17200,0.00041992187499995776,379.538884785,221307.5942827
17300,0.0004223632812499575,381.650464606,221308.3902764
17400,0.0004248046874999572,383.890004352,221309.1846257
17500,0.00042724609374995696,386.309635332,221309.9773354
17600,0.0004296874999999567,388.836884595,221310.7684104
17700,0.0004321289062499564,391.251096466,221311.5578554
17800,0.00043457031249995615,393.629221567,221312.3456751
17900,0.0004370117187499559,395.881300086,221313.1318742
18000,0.0004394531249999556,398.099065333,221313.9164572
18100,0.00044189453124995534,400.260597903,221314.6994287
18200,0.0004443359374999551,402.467803398,221315.4807929
18300,0.0004467773437499548,404.722098802,221316.2605545
18400,0.00044921874999995454,406.924826372,221317.0387175
18500,0.00045166015624995427,409.261762125,221317.8152863
18600,0.000454101562499954,411.377655397,221318.5902652
18700,0.00045654296874995373,413.585333128,221319.3636582
18800,0.00045898437499995346,415.763285336,221320.1354695
18900,0.0004614257812499532,418.024694285,221320.9057031
19000,0.0004638671874999529,420.199423728,221321.674363
19100,0.00046630859374995266,422.43655612,221322.4414532
19200,0.0004687499999999524,424.596416817,221323.2069776
19300,0.0004711914062499521,426.846430656,221323.97094
19400,0.00047363281249995185,428.958252096,221324.7333442
19500,0.0004760742187499516,431.083827705,221325.4941941
19600,0.0004785156249999513,433.277882618,221326.2534934
19700,0.00048095703124995104,435.452275755,221327.0112458
19800,0.00048339843749995077,437.771899355,221327.7674549
19900,0.0004858398437499505,439.916851972,221328.5221244
20000,0.00048828124999995024,442.193944219,221329.2752578
20100,0.0004907226562499554,444.355039767,221330.0268587
20200,0.0004931640624999605,446.621162145,221330.7769306
20300,0.0004956054687499657,448.75617726,221331.5254771
20400,0.0004980468749999708,451.004699987,221332.2725014
20500,0.000500488281249976,453.182561252,221333.0180072
20600,0.0005029296874999811,455.390955497,221333.7619977
20700,0.0005053710937499863,457.520322834,221334.5044763
20800,0.0005078124999999915,459.63658121,221335.2454464
20900,0.0005102539062499966,461.847079794,221335.9849112
21000,0.0005126953125000018,464.013954446,221336.722874
21100,0.0005151367187500069,466.315871374,221337.4593382
21200,0.0005175781250000121,468.472955593,221338.1943068
21300,0.0005200195312500172,470.766803437,221338.9277831
21400,0.0005224609375000224,472.874632944,221339.6597703
21500,0.0005249023437500275,475.281691159,221340.3902715
21600,0.0005273437500000327,477.935502797,221341.1192898
21700,0.0005297851562500378,480.606117356,221341.8468284
21800,0.000532226562500043,482.922702425,221342.5728903
21900,0.0005346679687500481,485.277701737,221343.2974787
22000,0.0005371093750000533,487.591033747,221344.0205965
22100,0.0005395507812500584,489.807926903,221344.7422467
22200,0.0005419921875000636,491.982078003,221345.4624324
22300,0.0005444335937500687,494.221754014,221346.1811566
22400,0.0005468750000000739,496.40856899,221346.8984222
22500,0.000549316406250079,498.671859015,221347.6142321
22600,0.0005517578125000842,500.8251989,221348.3285894
22700,0.0005541992187500893,503.267470454,221349.0414968
22800,0.0005566406250000945,505.502702885,221349.7529574
22900,0.0005590820312500996,507.64477684,221350.462974
23000,0.0005615234375001048,509.878530523,221351.1715494
23100,0.00056396484375011,512.061265624,221351.8786865
23200,0.0005664062500001151,514.325769439,221352.5843882
23300,0.0005688476562501203,516.555974026,221353.2886572
23400,0.0005712890625001254,518.822377628,221353.9914965
23500,0.0005737304687501306,521.042067934,221354.6929087
23600,0.0005761718750001357,523.283305755,221355.3928966
23700,0.0005786132812501409,525.585918175,221356.0914631
23800,0.000581054687500146,527.970236046,221356.7886108
23900,0.0005834960937501512,530.212541472,221357.4843426
24000,0.0005859375000001563,532.430003471,221358.1786611
24100,0.0005883789062501615,534.71460515,221358.8715691
24200,0.0005908203125001666,536.93302862,221359.5630693
24300,0.0005932617187501718,539.18862903,221360.2531644
24400,0.0005957031250001769,541.356663206,221360.941857
24500,0.0005981445312501821,543.582827413,221361.6291499
24600,0.0006005859375001872,545.784237891,221362.3150457
24700,0.0006030273437501924,547.954548025,221362.9995471
24800,0.0006054687500001975,550.132487874,221363.6826567
24900,0.0006079101562502027,552.370442347,221364.3643772
25000,0.0006103515625002078,554.553058127,221365.0447111
25100,0.000612792968750213,556.77086378,221365.7236612
25200,0.0006152343750002181,558.917602341,221366.40123
25300,0.0006176757812502233,561.125952931,221367.0774201
25400,0.0006201171875002285,563.33469317,221367.7522341
25500,0.0006225585937502336,565.79990849,221368.4256746
25600,0.0006250000000002388,568.397057706,221369.0977441
25700,0.0006274414062502439,570.846679616,221369.7684454
25800,0.0006298828125002491,573.303694904,221370.4377808
25900,0.0006323242187502542,575.580691734,221371.105753
26000,0.0006347656250002594,577.7923952,221371.7723645
26100,0.0006372070312502645,579.910095739,221372.4376179
26200,0.0006396484375002697,582.142183967,221373.1015156
26300,0.0006420898437502748,584.211574429,221373.7640603
26400,0.00064453125000028,586.474237235,221374.4252543
26500,0.0006469726562502851,588.53695275,221375.0851003
26600,0.0006494140625002903,590.758027047,221375.7436008
26700,0.0006518554687502954,592.916622842,221376.4007582
26800,0.0006542968750003006,595.321707805,221377.0565751
26900,0.0006567382812503057,597.563285885,221377.7110539
27000,0.0006591796875003109,599.964483743,221378.364197
27100,0.000661621093750316,602.228709458,221379.0160071
27200,0.0006640625000003212,604.547352698,221379.6664866
27300,0.0006665039062503263,607.137815076,221380.3156378
27400,0.0006689453125003315,609.691072939,221380.9634633
27500,0.0006713867187503366,611.888634799,221381.6099656
27600,0.0006738281250003418,614.2271481,221382.255147
27700,0.000676269531250347,616.43720259,221382.8990101
27800,0.0006787109375003521,618.558190373,221383.5415572
27900,0.0006811523437503573,620.801033694,221384.1827908
28000,0.0006835937500003624,622.964831666,221384.8227134
28100,0.0006860351562503676,625.2534289,221385.4613272
28200,0.0006884765625003727,627.378502916,221386.0986349
28300,0.0006909179687503779,629.655327998,221386.7346387
28400,0.000693359375000383,631.808659623,221387.3693411
28500,0.0006958007812503882,634.075789403,221388.0027444
28600,0.0006982421875003933,636.129916073,221388.6348512
28700,0.0007006835937503985,638.335752848,221389.2656637
28800,0.0007031250000004036,640.460812755,221389.8951844
28900,0.0007055664062504088,642.671842051,221390.5234156
29000,0.0007080078125004139,644.873745786,221391.1503598
29100,0.0007104492187504191,647.019528967,221391.7760193
29200,0.0007128906250004242,649.295928767,221392.4003965
29300,0.0007153320312504294,651.368687465,221393.0234937
29400,0.0007177734375004345,653.543674943,221393.6453133
29500,0.0007202148437504397,655.677274306,221394.2658578
29600,0.0007226562500004448,657.895795424,221394.8851293
29700,0.00072509765625045,659.993231682,221395.5031303
29800,0.0007275390625004551,662.288106647,221396.1198632
29900,0.0007299804687504603,664.502568478,221396.7353303
30000,0.0007324218750004654,666.664581594,221397.3495338
30100,0.0007348632812504706,668.998426935,221397.9624762
30200,0.0007373046875004758,671.064607829,221398.5741599
30300,0.0007397460937504809,673.263230252,221399.184587
30400,0.0007421875000004861,675.450328164,221399.79376
30500,0.0007446289062504912,677.805269108,221400.4016811
30600,0.0007470703125004964,679.952769746,221401.0083527
30700,0.0007495117187505015,682.139957181,221401.6137771
30800,0.0007519531250005067,684.282192929,221402.2179566
30900,0.0007543945312505118,686.472262685,221402.8208936
31000,0.000756835937500517,688.535904235,221403.4225902
31100,0.0007592773437505221,690.762062502,221404.0230489
31200,0.0007617187500005273,693.53612042,221404.6222719
31300,0.0007641601562505324,695.874625409,221405.2202615
31400,0.0007666015625005376,698.064389897,221405.8170201
31500,0.0007690429687505427,700.218945793,221406.4125498
31600,0.0007714843750005479,702.508604874,221407.0068529
31700,0.000773925781250553,704.642607113,221407.5999319
31800,0.0007763671875005582,707.396670639,221408.1917888
31900,0.0007788085937505633,710.004513398,221408.7824261
32000,0.0007812500000005685,712.552018625,221409.3718459
32100,0.0007836914062505736,714.985975862,221409.9600506
32200,0.0007861328125005788,717.245384047,221410.5470423
32300,0.000788574218750584,719.477122444,221411.1328235
32400,0.0007910156250005891,721.718991579,221411.7173962
32500,0.0007934570312505943,724.029413167,221412.3007628
32600,0.0007958984375005994,726.393613926,221412.8829256
32700,0.0007983398437506046,728.685670053,221413.4638867
32800,0.0008007812500006097,730.984250029,221414.0436484
32900,0.0008032226562506149,733.231307475,221414.622213
33000,0.00080566406250062,735.590798084,221415.1995826
33100,0.0008081054687506252,737.796674642,221415.7757596
33200,0.0008105468750006303,740.06587372,221416.3507462
33300,0.0008129882812506355,742.329890992,221416.9245445
33400,0.0008154296875006406,744.649080645,221417.4971569
33500,0.0008178710937506458,747.195301123,221418.0685854
33600,0.0008203125000006509,749.766685333,221418.6388325
33700,0.0008227539062506561,752.085655376,221419.2079002
33800,0.0008251953125006612,754.47281503,221419.7757907
33900,0.0008276367187506664,756.801727358,221420.3425064
34000,0.0008300781250006715,759.186270941,221420.9080493
34100,0.0008325195312506767,761.519708668,221421.4724218
34200,0.0008349609375006818,763.910375544,221422.0356259
34300,0.000837402343750687,766.236842171,221422.597664
34400,0.0008398437500006921,768.685044657,221423.1585381
34500,0.0008422851562506973,770.952567962,221423.7182505
34600,0.0008447265625007024,773.224291232,221424.2768034
34700,0.0008471679687507076,775.422835002,221424.8341989
34800,0.0008496093750007128,777.720897784,221425.3904393
34900,0.0008520507812507179,779.827716075,221425.9455266
35000,0.0008544921875007231,782.054518004,221426.4994632
35100,0.0008569335937507282,784.237654905,221427.0522511
35200,0.0008593750000007334,786.544531846,221427.6038925
35300,0.0008618164062507385,788.757289627,221428.1543897
35400,0.0008642578125007437,791.05383001,221428.7037447
35500,0.0008666992187507488,793.321822329,221429.2519597
35600,0.000869140625000754,795.561282148,221429.7990369
35700,0.0008715820312507591,797.80656704,221430.3449784
35800,0.0008740234375007643,799.965600609,221430.8897864
35900,0.0008764648437507694,802.264959359,221431.433463
36000,0.0008789062500007746,804.453672342,221431.9760105
36100,0.0008813476562507797,806.729849557,221432.5174308
36200,0.0008837890625007849,808.88856686,221433.0577262
36300,0.00088623046875079,811.144628352,221433.5968988
36400,0.0008886718750007952,813.569323454,221434.1349507
36500,0.0008911132812508003,815.852534146,221434.671884
36600,0.0008935546875008055,817.994793595,221435.207701
36700,0.0008959960937508106,820.250202487,221435.7424036
36800,0.0008984375000008158,822.396296446,221436.2759941
36900,0.0009008789062508209,824.737993736,221436.8084746
37000,0.0009033203125008261,827.006794208,221437.339847
37100,0.0009057617187508312,829.196382534,221437.8701137
37200,0.0009082031250008364,831.489811172,221438.3992767
37300,0.0009106445312508416,833.650615437,221438.927338
37400,0.0009130859375008467,836.203740203,221439.4542999
37500,0.0009155273437508519,838.715470203,221439.9801643
37600,0.000917968750000857,841.311765078,221440.5049334
37700,0.0009204101562508622,843.744287297,221441.0286093
37800,0.0009228515625008673,846.087200511,221441.5511941
37900,0.0009252929687508725,848.27173743,221442.0726898
38000,0.0009277343750008776,850.53745576,221442.5930986
38100,0.0009301757812508828,852.832018583,221443.1124225
38200,0.0009326171875008879,855.240902978,221443.6306636
38300,0.0009350585937508931,857.476881597,221444.1478241
38400,0.0009375000000008982,859.738209318,221444.6639058
38500,0.0009399414062509034,861.972371524,221445.178911
38600,0.0009423828125009085,864.288283577,221445.6928417
38700,0.0009448242187509137,866.50358371,221446.2056999
38800,0.0009472656250009188,868.772056829,221446.7174878
38900,0.000949707031250924,870.906588403,221447.2282074
39000,0.0009521484375009291,873.253688583,221447.7378606
39100,0.0009545898437509343,875.442727195,221448.2464497
39200,0.0009570312500009394,877.738364228,221448.7539766
39300,0.0009594726562509446,879.917645789,221449.2604433
39400,0.0009619140625009497,882.118581739,221449.765852
39500,0.0009643554687509549,884.314902817,221450.2702047
39600,0.00096679687500096,886.778909595,221450.7735033
39700,0.0009692382812509652,888.950437427,221451.27575
39800,0.0009716796875009704,891.333872909,221451.7769467
39900,0.0009741210937509755,893.492715626,221452.2770955
40000,0.0009765625000009806,895.783774819,221452.7761984
40100,0.0009790039062509749,898.137422816,221453.2742575
40200,0.0009814453125009692,900.75779865,221453.7712747
40300,0.0009838867187509635,903.292774147,221454.2672521
40400,0.0009863281250009578,905.840943523,221454.7621917
40500,0.000988769531250952,908.447623277,221455.2560955
40600,0.0009912109375009464,910.909084112,221455.7489654
40700,0.0009936523437509407,913.147794694,221456.2408036
40800,0.000996093750000935,915.45167359,221456.7316119
40900,0.0009985351562509293,917.699456594,221457.2213925
41000,0.0010009765625009237,920.014701969,221457.7101472
41100,0.001003417968750918,922.257573883,221458.1978782
41200,0.0010058593750009123,924.517056297,221458.6845873
41300,0.0010083007812509066,926.729669762,221459.1702765
41400,0.001010742187500901,928.882774302,221459.6549479
41500,0.0010131835937508952,931.053913431,221460.1386034
41600,0.0010156250000008895,933.188510534,221460.621245
41700,0.0010180664062508838,935.41323981,221461.1028747
41800,0.0010205078125008781,937.524198286,221461.5834944
41900,0.0010229492187508724,939.695368815,221462.0631061
42000,0.0010253906250008668,941.819297249,221462.5417118
42100,0.001027832031250861,944.044685034,221463.0193134
42200,0.0010302734375008554,946.249412396,221463.4959129
42300,0.0010327148437508497,948.349520284,221463.9715123
42400,0.001035156250000844,950.587883465,221464.4461134
42500,0.0010375976562508383,952.868052658,221464.9197183
42600,0.0010400390625008326,955.253558494,221465.3923288
42700,0.001042480468750827,957.652223019,221465.863947
42800,0.0010449218750008212,960.11932304,221466.3345748
42900,0.0010473632812508155,962.411337576,221466.8042141
43000,0.0010498046875008099,964.820530627,221467.2728668
43100,0.0010522460937508042,967.005981341,221467.7405349
43200,0.0010546875000007985,969.271942558,221468.2072202
43300,0.0010571289062507928,971.341486294,221468.6729248
43400,0.001059570312500787,973.5445753,221469.1376506
43500,0.0010620117187507814,975.698265181,221469.6013994
43600,0.0010644531250007757,978.403253767,221470.0641732
43700,0.00106689453125077,980.726073791,221470.5259739
43800,0.0010693359375007643,982.988501371,221470.9868033
43900,0.0010717773437507586,985.187797919,221471.4466635
44000,0.001074218750000753,987.423502864,221471.9055563
44100,0.0010766601562507473,989.611124608,221472.3634836
44200,0.0010791015625007416,991.850426786,221472.8204473
44300,0.0010815429687507359,994.018642299,221473.2764493
44400,0.0010839843750007302,996.298282108,221473.7314915
44500,0.0010864257812507245,998.436278979,221474.1855758
44600,0.0010888671875007188,1000.531637634,221474.638704
44700,0.0010913085937507131,1002.675005991,221475.0908781
44800,0.0010937500000007074,1004.808095764,221475.5420999
44900,0.0010961914062507017,1007.081104136,221475.9923713
45000,0.001098632812500696,1009.163191988,221476.4416942
45100,0.0011010742187506904,1011.3480986,221476.8900704
45200,0.0011035156250006847,1013.496727232,221477.3375018
45300,0.001105957031250679,1016.001347423,221477.7839903
45400,0.0011083984375006733,1018.442620882,221478.2295378
45500,0.0011108398437506676,1020.879108711,221478.674146
45600,0.001113281250000662,1023.111500362,221479.1178169
45700,0.0011157226562506562,1025.520448512,221479.5605522
45800,0.0011181640625006505,1027.709234018,221480.002354
45900,0.0011206054687506448,1029.873297102,221480.4432239
46000,0.0011230468750006392,1031.964981159,221480.8831638
46100,0.0011254882812506335,1034.097782823,221481.3221756
46200,0.0011279296875006278,1036.291184033,221481.7602612
46300,0.001130371093750622,1038.380977901,221482.1974222
46400,0.0011328125000006164,1040.568669363,221482.6336607
46500,0.0011352539062506107,1042.694032771,221483.0689783
46600,0.001137695312500605,1044.855209677,221483.503377
46700,0.0011401367187505993,1047.002346349,221483.9368585
46800,0.0011425781250005936,1049.411276033,221484.3694247
46900,0.001145019531250588,1051.611344834,221484.8010774
47000,0.0011474609375005823,1053.824422351,221485.2318184
47100,0.0011499023437505766,1056.01412933,221485.6616494
47200,0.0011523437500005709,1058.148663784,221486.0905724
47300,0.0011547851562505652,1060.353286515,221486.5185891
47400,0.0011572265625005595,1062.490595727,221486.9457013
47500,0.0011596679687505538,1064.699910427,221487.3719108
47600,0.0011621093750005481,1066.882560484,221487.7972194
47700,0.0011645507812505424,1069.181836447,221488.2216289
47800,0.0011669921875005367,1071.38131553,221488.6451411
47900,0.001169433593750531,1073.551591372,221489.0677578
48000,0.0011718750000005254,1075.879292215,221489.4894807
48100,0.0011743164062505197,1078.356713843,221489.9103117
48200,0.001176757812500514,1080.760768886,221490.3302524
48300,0.0011791992187505083,1083.146689981,221490.7493047
48400,0.0011816406250005026,1085.594543751,221491.1674704
48500,0.001184082031250497,1087.927459257,221491.5847512
48600,0.0011865234375004912,1090.064991267,221492.0011489
48700,0.0011889648437504855,1092.215373388,221492.4166652
48800,0.0011914062500004798,1094.444602118,221492.8313019
48900,0.0011938476562504742,1096.804637232,221493.2450608
49000,0.0011962890625004685,1099.000287936,221493.6579436
49100,0.0011987304687504628,1101.274068749,221494.0699521
49200,0.001201171875000457,1103.401708354,221494.4810879
49300,0.0012036132812504514,1105.554882801,221494.8913529
49400,0.0012060546875004457,1107.721809973,221495.3007488
49500,0.00120849609375044,1109.788813191,221495.7092773
49600,0.0012109375000004343,1112.084253606,221496.1169402
49700,0.0012133789062504286,1114.33854988,221496.5237392
49800,0.001215820312500423,1116.804928517,221496.929676
49900,0.0012182617187504173,1119.263615198,221497.3347523
50000,0.0012207031250004116,1121.639744045,221497.7389699
50100,0.0012231445312504059,1123.866090114,221498.1423305
50200,0.0012255859375004002,1126.215554059,221498.5448358
50300,0.0012280273437503945,1128.425006208,221498.9464875
50400,0.0012304687500003888,1130.628300859,221499.3472873
50500,0.0012329101562503831,1132.722797628,221499.747237
50600,0.0012353515625003774,1134.923133894,221500.1463382
50700,0.0012377929687503717,1137.107234591,221500.5445927
50800,0.001240234375000366,1139.109575653,221500.9420021
50900,0.0012426757812503604,1141.273566456,221501.3385682
51000,0.0012451171875003547,1143.49421527,221501.7342925
51100,0.001247558593750349,1145.81536037,221502.1291769
51200,0.0012500000000003433,1148.290442027,221502.5232231
51300,0.0012524414062503376,1150.749698537,221502.9164326
51400,0.001254882812500332,1152.921673616,221503.3088071
51500,0.0012573242187503262,1155.117049837,221503.7003485
51600,0.0012597656250003205,1157.226087571,221504.0910582
51700,0.0012622070312503148,1159.461359652,221504.4809381
51800,0.0012646484375003091,1161.596652013,221504.8699897
51900,0.0012670898437503035,1163.967856669,221505.2582148
52000,0.0012695312500002978,1166.471117429,221505.645615
52100,0.001271972656250292,1168.963942804,221506.0321919
52200,0.0012744140625002864,1171.226132646,221506.4179472
52300,0.0012768554687502807,1173.645858779,221506.8028827
52400,0.001279296875000275,1176.030687356,221507.1869998
52500,0.0012817382812502693,1178.340467575,221507.5703003
52600,0.0012841796875002636,1180.508863402,221507.9527859
52700,0.001286621093750258,1182.603198378,221508.3344581
52800,0.0012890625000002522,1184.997426548,221508.7153186
52900,0.0012915039062502466,1187.296658582,221509.0953691
53000,0.0012939453125002409,1189.473044941,221509.4746112
53100,0.0012963867187502352,1191.549441494,221509.8530464
53200,0.0012988281250002295,1193.841049766,221510.2306765
53300,0.0013012695312502238,1195.960339744,221510.6075031
