branch_id,sample_index,arc_length_um,center_x_um,center_y_um,center_z_um,tangent_x,tangent_y,tangent_z,source_radius_um,reconstructed_radius_um,relative_error,absolute_relative_error
0,2,6.200253826166749,93.28,45.82,116.16,0.27650817146822876,-0.444461283026706,0.852054809857647,1.2832,1.4152542722373402,0.10291012487323906,0.10291012487323906
0,3,8.425293151661922,93.98,44.94,118.08,0.32577085209769024,-0.3467132640182551,0.8795813006637604,1.3551,1.4790150849904529,0.09144349862774179,0.09144349862774179
0,4,10.504163036960183,94.68,44.33,119.94,0.32571230047614863,-0.25625894228638185,0.9100784866245326,1.4089,1.5369881539922328,0.09091358789994515,0.09091358789994515
0,5,12.604353504513064,95.34,43.87,121.88,0.30351106012373186,-0.1821066360742388,0.9352637111960954,1.4964,1.6138647597461473,0.07849823559619576,0.07849823559619576
0,6,14.955310756357509,96.03,43.52,124.1,0.29022314055926945,-0.1246471180607107,0.9488064210591505,1.5218,1.643457310355398,0.0799430347978696,0.0799430347978696
0,7,17.98081897812787,96.9,43.2,126.98,0.3190973844101092,-0.09401976504940791,0.9430467342834505,1.5931,1.7149797497163846,0.07650477039506912,0.07650477039506912
0,8,21.978330704189464,98.27,42.86,130.72,0.35582742476540574,-0.060467405515690464,0.9325934466073738,1.6451,1.7756682514201712,0.0793679724151548,0.0793679724151548
0,9,26.58342570863834,99.96,42.68,135.0,0.3663697322304496,-0.0034892355450520268,0.9304628120138385,1.6367,1.7578444215297988,0.07401748734025708,0.07401748734025708
0,10,30.582488098749305,101.42,42.83,138.72,0.34779686769513396,0.08984752415457568,0.9332549283152736,1.6566,1.7708019925872291,0.06893757852663833,0.06893757852663833
0,11,33.49846134965542,102.36,43.3,141.44,0.3038914869678843,0.21314611238719805,0.9285573212907603,1.6188,1.7419277123705217,0.07606110227978853,0.07606110227978853
1,3,4.68976213253509,94.98,51.88,108.82,0.6212367933992606,0.6245237605601026,-0.47332327116134054,1.1613,1.2977554865136467,0.11750235642267003,0.11750235642267003
1,6,8.908603270658528,97.68,54.51,106.94,0.7146811166464656,0.6032170892795825,-0.35406220457714643,1.127,1.2556573480869073,0.11415913761038804,0.11415913761038804
1,10,17.544745902519782,103.91,59.37,103.48,0.7435579670937317,0.5170051489948602,-0.42406040310814164,1.066,1.1929262923747246,0.11906781648660837,0.11906781648660837
1,13,21.587744860874043,107.03,61.26,101.76,0.7453980342174577,0.4297447850335366,-0.5096088601282648,1.035,1.1611571593719952,0.12189097523864274,0.12189097523864274
1,17,27.120704423234116,110.99,64.06,99.12,0.7211474245648729,0.544616544593264,-0.4281812833353931,1.0548,1.1842966989146444,0.12276895991149454,0.12276895991149454
1,20,30.85663324589985,113.7,65.89,97.32,0.7306209124760147,0.4809615051977772,-0.4846329670695178,1.0622,1.1889776262562188,0.11935381873114177,0.11935381873114177
1,24,36.952222447929486,118.18,68.96,94.56,0.7447170946969365,0.49647806313129494,-0.4459887685755684,1.1452,1.2788779427022305,0.11672890560795542,0.11672890560795542
1,27,40.641622789005694,120.98,70.54,92.76,0.7762087095563146,0.3524621181148585,-0.522752804395068,1.2159,1.3482837293894674,0.10887715222425151,0.10887715222425151
1,31,46.00224773515242,125.22,72.57,90.22,0.7152002435936079,0.521153665874415,-0.46571178652606854,1.2827,1.4185254221133445,0.10589024878252483,0.10589024878252483
1,34,53.47100567700505,129.83,77.68,87.46,0.5983044999770133,0.762252708155767,-0.2469869110225384,1.1623,1.2805231433467563,0.10171482693517697,0.10171482693517697
3,4,5.1676278019856206,126.92,86.02,88.02,-0.49390113602358005,0.7952645410549147,0.35159063920322586,1.2046,1.3345380182854822,0.10786818718701839,0.10786818718701839
3,7,8.75655804152867,125.27,89.0,89.12,-0.4289199582223747,0.8578399164447494,0.28308717242676584,1.2193,1.3476675306493653,0.10527969379920055,0.10527969379920055
3,9,11.167288389850075,124.22,90.97,90.02,-0.42044074817583027,0.7996618151579598,0.4286846844145763,1.1807,1.3010126870003416,0.10189945540809814,0.10189945540809814
3,12,14.86708517949766,122.64,94.01,91.4,-0.4712013507000608,0.792616841574936,0.38694680454839137,1.1584,1.2940422118644626,0.11709445084984672,0.11709445084984672
3,15,22.13368140971662,119.0,99.64,94.2,-0.5279482717294905,0.769456523690855,0.35945414245412244,1.1221,1.252887973906572,0.11655643338969059,0.11655643338969059
3,17,26.455351171851667,116.69,102.97,95.7,-0.5038347692890688,0.7677482198690548,0.39587017586997897,1.1322,1.2608724572325287,0.11364816925678203,0.11364816925678203
3,20,30.2907444733122,114.96,105.99,97.3,-0.43325333562314855,0.8342431249764912,0.34107177485226436,1.1572,1.277915741725718,0.10431709447435022,0.10431709447435022
3,23,33.610175388562084,113.71,108.74,98.64,-0.28040653463585,0.92238991656529,0.2656482959708031,1.135,1.2499502948408363,0.10127779281130951,0.10127779281130951
3,25,37.437361953852616,112.88,112.44,99.12,-0.15210266005541864,0.9851572289743383,0.07956139141360544,1.127,1.2395943470424433,0.09990625292142263,0.09990625292142263
3,28,42.137601982617014,112.73,117.1,99.56,0.11800518640700464,0.9667347963342926,0.22693305078269677,1.183,1.3021851015492067,0.10074818389620177,0.10074818389620177
4,3,5.066469265516927,134.01,80.67,85.68,0.8873298587969136,0.3242852094398335,-0.3278487831699434,1.116,1.2452536900820315,0.11581871871149763,0.11581871871149763
4,5,8.847017623316994,137.38,82.3,85.3,0.8710999885480967,0.4885644327179083,0.04989594206480641,1.1472,1.2731066272634082,0.10975124412779654,0.10975124412779654
4,7,13.828078572074626,141.54,84.88,86.16,0.7868785156356418,0.5685677079440435,0.23990198647428096,2.1338,2.252339479777154,0.05555322887672424,0.05555322887672424
4,9,17.129567991770024,143.92,87.01,86.98,0.6935117591051646,0.690061451845938,0.20701843555378435,2.648,2.7370889391823954,0.033643859207853184,0.033643859207853184
4,11,20.36166393569275,146.26,89.2,87.02,0.7472995810644748,0.6143055878241906,-0.2533218918862638,2.7279,2.8173072936126324,0.03277513604334193,0.03277513604334193
