cut_port_id,swc_node_id,global_edge_id,x_um,y_um,z_um,radius_um,boundary_face
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,1,814,103.26659863945578,46.999183673469396,147.18,1.5873904761904762,z_max
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,109,897,113.4174358974359,122.04,100.41025641025641,1.1735384615384614,y_max
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,17,1975,90.03999999999999,48.091272727272724,110.9109090909091,1.1528563636363636,x_min
