iteration,physical_time_s,avg_pressure_pa,avg_velocity_m_s,delta_pressure_vs_previous,delta_velocity_vs_previous
167464,0.004088476562499999,23682.17357510184,6.040708523537372e-05,,
167564,0.004090917968749999,23682.17682867449,6.041065020747524e-05,0.003253572649555281,3.564972101525207e-09
167664,0.0040933593749999985,23682.18007496957,6.041420725946801e-05,0.003246295080316486,3.557051992769634e-09
167764,0.004095800781249999,23682.18331400318,6.041775640873454e-05,0.003239033612771891,3.549149266526049e-09
167864,0.004098242187499998,23682.18654579159,6.042129767262104e-05,0.003231788406992564,3.5412638865007845e-09
167964,0.004100683593749999,23682.18977035096,6.042483106843421e-05,0.0032245593720290344,3.5333958131678945e-09
168064,0.004103124999999998,23682.19298769729,6.042835661344872e-05,0.003217346329620341,3.52554501451631e-09
168164,0.004105566406249999,23682.19619784644,6.043187432489629e-05,0.003210149148799246,3.5177114475641916e-09
168264,0.004108007812499998,23682.19940081473,6.043538421997581e-05,0.003202968291589059,3.5098950795211994e-09
168364,0.0041104492187499985,23682.20259661784,6.043888631584976e-05,0.0031958031104295515,3.502095873951364e-09
168464,0.004112890624999999,23682.2057852719,6.044238062963859e-05,0.0031886540600680746,3.4943137888282993e-09
168564,0.0041153320312499984,23682.2089667927,6.044586717842942e-05,0.0031815207985346206,3.4865487908331168e-09
168664,0.004117773437499999,23682.21214119607,6.044934597927543e-05,0.003174403369484935,3.4788008460099598e-09
168764,0.004120214843749998,23682.21530849791,6.045281704919043e-05,0.003167301842040615,3.471069914995513e-09
168864,0.004122656249999999,23682.21846871394,6.045628040515034e-05,0.003160216030664742,3.4633559599104636e-09
168964,0.004125097656249998,23682.22162185999,6.045973606409689e-05,0.0031531460481346585,3.4556589465550088e-09
169064,0.004127539062499999,23682.22476795163,6.046318404293402e-05,0.003146091639791848,3.447978837124374e-09
169164,0.004129980468749998,23682.22790700478,6.046662435853052e-05,0.0031390531512442976,3.440315596503962e-09
169264,0.0041324218749999985,23682.23103903488,6.047005702771975e-05,0.0031320300986408256,3.4326691892268084e-09
169364,0.004134863281249999,23682.2341640577,6.047348206729546e-05,0.003125022820313461,3.4250395757127582e-09
169464,0.004137304687499998,23682.23728208883,6.047689949402052e-05,0.003118031130725285,3.4174267250620493e-09
169564,0.004139746093749999,23682.2403931435,6.048030932461461e-05,0.0031110546697163954,3.409830594089554e-09
169664,0.004142187499999998,23682.24349723759,6.048371157576845e-05,0.003104094088484999,3.402251153840298e-09
169764,0.004144628906249999,23682.24659438638,6.048710626413544e-05,0.0030971487904025707,3.3946883669906214e-09
169864,0.004147070312499998,23682.24968460543,6.049049340633167e-05,0.0030902190519555006,3.387142196230417e-09
169964,0.004149511718749999,23682.2527679101,6.049387301893651e-05,0.0030833046694169752,3.3796126048391125e-09
170064,0.004151953124999998,23682.25584431582,6.049724511849433e-05,0.0030764057191845495,3.3720995578173066e-09
170164,0.0041543945312499985,23682.25891383775,6.05006097215183e-05,0.0030695219320477918,3.3646030239670817e-09
170264,0.004156835937499999,23682.26197649141,6.050396684447948e-05,0.0030626536572526675,3.357122961180736e-09
170364,0.004159277343749998,23682.26503229194,6.050731650381751e-05,0.003055800531001296,3.3496593380299587e-09
170464,0.004161718749999999,23682.26808125463,6.051065871593737e-05,0.0030489626915368717,3.3422121198609382e-09
170564,0.004164160156249998,23682.27112339477,6.051399349720598e-05,0.003042140138859395,3.334781268611402e-09
170664,0.004166601562499999,23682.27415872738,6.051732086395635e-05,0.0030353326110343914,3.327366750372927e-09
170764,0.004169042968749998,23682.27718726765,6.052064083248746e-05,0.0030285402681329288,3.3199685311083413e-09
170864,0.0041714843749999985,23682.28020903069,6.052395341906072e-05,0.0030217630410334095,3.312586573256816e-09
170964,0.004173925781249999,23682.28322403175,6.052725863990613e-05,0.003015001060703071,3.305220845410369e-09
171064,0.0041763671874999984,23682.2862322856,6.053055651121551e-05,0.003008253850566689,3.2978713093847556e-09
171164,0.004178808593749999,23682.28923380738,6.053384704914672e-05,0.0030015217780601233,3.29053793120379e-09
171264,0.004181249999999998,23682.29222861204,6.053713026982619e-05,0.0029948046612844337,3.283220679473043e-09
171364,0.004183691406249999,23682.29521671453,6.054040618933975e-05,0.0029881024893256836,3.275919513562038e-09
171464,0.004186132812499998,23682.29819812974,6.054367482374465e-05,0.0029814152112521697,3.2686344048952717e-09
171564,0.004188574218749999,23682.30117287269,6.054693618905682e-05,0.0029747429471171927,3.2613653121714176e-09
171664,0.004191015624999998,23682.304140958,6.055019030126576e-05,0.002968085311294999,3.254112208942719e-09
171764,0.0041934570312499985,23682.30710240059,6.055343717632245e-05,0.0029614425911859144,3.2468750566861174e-09
171864,0.004195898437499999,23682.31005721524,6.055667683014105e-05,0.002954814648546744,3.2396538185997252e-09
171964,0.004198339843749998,23682.31300541675,6.055990927860544e-05,0.00294820150884334,3.2324484643936444e-09
172064,0.004200781249999999,23682.31594701963,6.056313453756455e-05,0.0029416028810373973,3.225258959109131e-09
172164,0.004203222656249998,23682.31888203874,6.056635262283242e-05,0.002935019110736903,3.2180852678687566e-09
172264,0.004205664062499999,23682.32181048874,6.05695635501885e-05,0.002928449997853022,3.2109273560796954e-09
172364,0.004208105468749998,23682.32473238417,6.057276733538047e-05,0.002921895433246391,3.203785191974824e-09
172464,0.004210546874999999,23682.32764773964,6.057596399412032e-05,0.0029153554678487126,3.196658739850009e-09
172564,0.004212988281249998,23682.33055656977,6.057915354208608e-05,0.0029088301307638176,3.189547965756171e-09
