iteration,pressure_current,pressure_history_mean,pressure_residual_pa,pressure_ratio_to_threshold,velocity_current,velocity_history_mean,velocity_residual_m_s,velocity_ratio_to_threshold
183464,23682.61153698777,23682.487477907613,0.12405908015716705,124.05908015716705,6.088746229823123e-05,6.075129944376891e-05,1.3616285446232392e-07,136.1628544623239
183564,23682.61380997002,23682.490028829667,0.1237811403516389,123.7811403516389,6.088995809671787e-05,6.07540986461581e-05,1.358594505597701e-07,135.8594505597701
183664,23682.61607785781,23682.492574037857,0.12350381995202042,123.50381995202042,6.08924483297532e-05,6.0756891613580445e-05,1.355567161727525e-07,135.5567161727525
183764,23682.61834066251,23682.4951135449,0.12322711760862148,123.22711760862148,6.089493300963163e-05,6.07596783597866e-05,1.3525464984502498e-07,135.25464984502497
183864,23682.62059839553,23682.497647363507,0.12295103202268365,122.95103202268365,6.089741214861813e-05,6.076245889849743e-05,1.349532501207005e-07,134.95325012070052
183964,23682.62285106811,23682.500175506342,0.12267556176811922,122.67556176811922,6.089988575895556e-05,6.076523324340395e-05,1.3465251555161027e-07,134.65251555161026
184064,23682.62509869164,23682.502697986063,0.1224007055752736,122.4007055752736,6.090235385285346e-05,6.076800140816747e-05,1.3435244468598722e-07,134.3524446859872
184164,23682.62734127721,23682.505214815283,0.12212646192710963,122.12646192710963,6.090481644249897e-05,6.077076340641965e-05,1.340530360793149e-07,134.0530360793149
184264,23682.62957883619,23682.507726006592,0.12185282959762844,121.85282959762844,6.090727354005306e-05,6.07735192517625e-05,1.3375428829055992e-07,133.7542882905599
184364,23682.63181137985,23682.510231572556,0.12157980729534756,121.57980729534756,6.090972515764861e-05,6.0776268957768534e-05,1.3345619988007793e-07,133.45619988007792
184464,23682.63403891911,23682.51273152571,0.12130739340136643,121.30739340136643,6.091217130739141e-05,6.0779012537980754e-05,1.3315876941065734e-07,133.15876941065733
184564,23682.63626146543,23682.515225878546,0.12103558688613703,121.03558688613703,6.091461200136292e-05,6.078175000591271e-05,1.3286199545020936e-07,132.86199545020935
184664,23682.63847902975,23682.517714643556,0.12076438619260443,120.76438619260443,6.091704725161602e-05,6.0784481375048607e-05,1.3256587656741096e-07,132.56587656741095
184764,23682.64069162334,23682.520197833193,0.1204937901457015,120.4937901457015,6.091947707018184e-05,6.078720665884336e-05,1.3227041133848105e-07,132.27041133848104
184864,23682.64289925714,23682.522675459884,0.1202237972538569,120.2237972538569,6.092190146905889e-05,6.078992587072261e-05,1.3197559833627755e-07,131.97559833627753
184964,23682.64510194241,23682.52514753602,0.11995440638929722,119.95440638929722,6.092432046022464e-05,6.079263902408285e-05,1.3168143614178987e-07,131.68143614178985
185064,23682.64729968998,23682.527614073966,0.11968561601315741,119.68561601315741,6.092673405562595e-05,6.079534613229143e-05,1.3138792333451665e-07,131.38792333451664
185164,23682.64949251077,23682.530075086084,0.11941742468479788,119.41742468479788,6.092914226718827e-05,6.079804720868661e-05,1.3109505850166116e-07,131.09505850166116
185264,23682.65168041608,23682.532530584656,0.11914983142196434,119.14983142196434,6.093154510680863e-05,6.080074226657769e-05,1.3080284023094164e-07,130.80284023094163
185364,23682.65386341688,23682.534980582004,0.11888283487496665,118.88283487496665,6.093394258635854e-05,6.0803431319245016e-05,1.3051126711352546e-07,130.51126711352543
185464,23682.65604152389,23682.53742509037,0.11861643351949169,118.6164335194917,6.093633471768355e-05,6.0806114379940015e-05,1.3022033774353443e-07,130.22033774353443
185564,23682.65821474812,23682.539864121987,0.1183506261331786,118.3506261331786,6.093872151260433e-05,6.080879146188533e-05,1.2993005071900029e-07,129.9300507190003
185664,23682.66038310043,23682.542297689066,0.11808541136269923,118.08541136269923,6.09411029829141e-05,6.081146257827484e-05,1.296404046392558e-07,129.6404046392558
185764,23682.66254659164,23682.544725803797,0.11782078784381156,117.82078784381156,6.094347914037975e-05,6.081412774227371e-05,1.2935139810603928e-07,129.35139810603928
185864,23682.66470523283,23682.547148478316,0.11755675451422576,117.55675451422576,6.09458499967492e-05,6.0816786967018436e-05,1.290630297307656e-07,129.06302973076558
185964,23682.66685903462,23682.54956572476,0.11729330986054265,117.29330986054265,6.094821556373617e-05,6.0819440265617e-05,1.2877529811917109e-07,128.77529811917108
186064,23682.66900800781,23682.551977555217,0.11703045259491773,117.03045259491773,6.095057585303248e-05,6.0822087651148805e-05,1.2848820188367347e-07,128.48820188367347
186164,23682.67115216318,23682.554383981762,0.11676818141859258,116.76818141859258,6.095293087630327e-05,6.082472913666482e-05,1.2820173963844553e-07,128.20173963844553
