grid,status,accepted_restart_sha256,old_reference_reused,old_denominator,new_per_rank_active_counts,new_active_global,old_target,new_target,target_relative_difference,old_pdf_payload_sha256,new_pdf_payload_sha256,bitwise_equivalent,max_abs_pdf_diff,rms_pdf_diff,max_abs_rho_diff,max_abs_u_lat_diff,max_abs_u_phy_diff,max_abs_gauge_pressure_diff,verdict
coarse,DEFERRED_NOT_RUN_RESOURCE_BUDGET,9eda88e685e5eaa6af650757b8c97accba392c88988df2766d2bb4de825fcfbb,True,136,"[0, 0, 0, 136]",136,0.0005365234139203674,0.0005365234139203674,0.0,236c8a1b38ad7f7b682ab8dd9ff857d778b7fc4ac2494dc72dc0e9dcc725dfbf,,,,,,,,,NOT_RUN_NOT_REQUIRED_FOR_CURRENT_CONCLUSION
base,DEFERRED_NOT_RUN_RESOURCE_BUDGET,ffcd98b2dc684d1569d937d915b603805809c581d5341e71b17afac2ac64c39f,True,223,"[0, 0, 0, 223]",223,0.0006974804380964791,0.0006974804380964791,0.0,7165731f2516782384a9d58b0a56b58097f26081f6bd3828dfbe03491fe78f0d,,,,,,,,,NOT_RUN_NOT_REQUIRED_FOR_CURRENT_CONCLUSION
