port_id,boundary_origin,role,sampling_radius_factor,rounded_outward_cap_excluded,triangle_count,edge_length_min_um,edge_length_p25_um,edge_length_median_um,edge_length_p75_um,edge_length_p95_um,triangle_area_median_um2,triangle_area_p95_um2,aspect_ratio_definition,aspect_ratio_median,aspect_ratio_p95
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,CUT_PORT,ASSUMED_INLET,2.0,True,558,0.1652011482072753,0.2713093551520035,0.32242600959909495,0.3890542721189466,0.5131997675180052,0.043626467321188814,0.09646786638433773,(sqrt(3)/2) * longest_edge / altitude_to_longest_edge; equilateral=1,1.3741966976339524,1.9125104718720098
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,CUT_PORT,ASSUMED_OUTLET,2.0,True,507,0.10914469392508934,0.21974116841866728,0.25947970161845774,0.3010042741175013,0.36579040573939964,0.02836128591333011,0.05107069229307542,(sqrt(3)/2) * longest_edge / altitude_to_longest_edge; equilateral=1,1.3268860105673719,1.7454079590248204
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,CUT_PORT,ASSUMED_OUTLET,2.0,True,649,0.09493780405085306,0.17255237033099857,0.22369254188952853,0.2735433705281839,0.3606389243079503,0.02039721698729264,0.048944937272926446,(sqrt(3)/2) * longest_edge / altitude_to_longest_edge; equilateral=1,1.3594002015676254,1.8970968264258357
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,TRUE_TERMINAL,ASSUMED_OUTLET,2.0,True,459,0.08208273153349475,0.253994096803453,0.297668534356583,0.3440764507576678,0.41337677385171673,0.036994388812507426,0.06492120803140544,(sqrt(3)/2) * longest_edge / altitude_to_longest_edge; equilateral=1,1.298463952842865,1.7822952284614741
