port_id,previous_triangle_count,refined_triangle_count,previous_median_edge_um,refined_median_edge_um,previous_aspect_ratio_p95,refined_aspect_ratio_p95,previous_aspect_ratio_max,refined_aspect_ratio_max,previous_minimum_angle_deg,refined_minimum_angle_deg,triangle_count_increased,p95_aspect_ratio_improved,minimum_angle_improved,refined_interface_aspect_ratio_p95,refined_interface_minimum_angle_deg,interface_p95_aspect_ratio_improved,interface_minimum_angle_improved,mesh_quality_improved
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,120,5880,15.873904761904766,0.3239572400388989,2884.698609460208,2.280160990092338,5217.001504982428,106.51010849714872,0.009511134191814957,0.46593121375733487,True,True,True,17.5043903886119,0.46593121375733487,True,True,True
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,124,5580,11.735384615384621,0.26078632478635905,2515.801556395491,2.622568969120369,8019.487053306806,178.22288870034026,0.0061873784938617366,0.27841621719186743,True,True,True,10.4446779646143,0.27841621719186743,True,True,True
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,130,6630,11.528563636363636,0.2260502673796937,444.1002331503405,2.33818737259102,1112.4552264046347,21.893972632182926,0.04460370131457422,2.27064212323888,True,True,True,6.746485634728083,2.27064212323888,True,True,True
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,110,4620,12.55,0.2988095238095635,1408.4834617773115,2.3015601910457195,8663.749877084412,206.34789122401955,0.005727265969898973,0.2404826670401932,True,True,True,8.186788419269378,0.2404826670401932,True,True,True
