port_id,role,boundary_origin,global_node_id,global_edge_id,extension_length_um,extension_end_x_um,extension_end_y_um,extension_end_z_um,surface_modified
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,ASSUMED_INLET,CUT_PORT,,814,15.873904761904763,103.66617139749715,57.66777631317471,158.92743908641708,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,ASSUMED_OUTLET,CUT_PORT,,897,11.735384615384614,113.71667556251941,133.71034693825757,99.21329774992236,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,ASSUMED_OUTLET,CUT_PORT,,1975,11.528563636363636,79.58977867989019,43.246170115221815,110.43589903090417,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,ASSUMED_OUTLET,TRUE_TERMINAL,4484,2073,12.549999999999999,176.41967751753975,97.09720856539843,81.05984668073704,False
