port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028132099571789144,0.028137183861111765,5.084289322620367e-06,1.7593170410494715e-15
inlet,61526,183797,87650694,9,12,13,0.028133702888146473,0.028137174635170733,3.4717470242598414e-06,1.201328900544395e-15
inlet,61527,183798,87650695,9,9,8,0.02813270780940222,0.028137182788696508,4.474979294288861e-06,1.5484774432011184e-15
inlet,61527,183798,87650695,9,12,13,0.028133043181042823,0.028137178698802258,4.135517759434881e-06,1.4310135411386729e-15
inlet,61528,183799,87650696,7,7,10,0.028136662800479273,0.028138052242063127,1.3894415838537622e-06,4.807885824162441e-16
inlet,61528,183799,87650696,7,11,14,0.028136730557210478,0.02813816382679292,1.4332695824417763e-06,4.959543882738945e-16
inlet,61540,183823,87650736,9,9,8,0.028131380832946203,0.028137173713709943,5.79288076374071e-06,2.0045109941076592e-15
inlet,61540,183823,87650736,9,12,13,0.028134905737182588,0.02813719853799514,2.2928008125526478e-06,7.933780485916578e-16
inlet,61543,183826,87650743,3,7,10,0.028136932740559686,0.02813753029170399,5.975511443052917e-07,2.0677067026805164e-16
inlet,61543,183826,87650743,3,9,8,0.028131265729965098,0.0281375014645981,6.235734633000534e-06,2.1577517539159455e-15
inlet,61544,183827,87650744,3,7,10,0.0281372978249552,0.028137925493455646,6.27668500445544e-07,2.1719218142265166e-16
inlet,61544,183827,87650744,3,9,8,0.028131098424142416,0.028137901384260196,6.802960117780615e-06,2.354028833792436e-15
inlet,61547,183832,87650749,3,7,10,0.0281371354514318,0.028137756914567144,6.214631353453071e-07,2.1504493844058747e-16
inlet,61547,183832,87650749,3,9,8,0.02813183883607034,0.028137699253408227,5.8604173378863644e-06,2.027880680262206e-15
inlet,61548,183833,87650750,7,7,10,0.028136918046147194,0.028138534934978497,1.6168888313031204e-06,5.594921716469254e-16
inlet,61548,183833,87650750,7,11,14,0.028136569564571647,0.02813910237368318,2.532809111534251e-06,8.764281394889259e-16
inlet,61549,183834,87650751,3,3,6,0.056263991325136264,0.05627880217242611,1.481084728984644e-05,5.1249986725733476e-15
inlet,61549,183834,87650751,3,7,10,0.02813719896440489,0.028138832081617497,1.6331172126050897e-06,5.651076797271163e-16
inlet,61549,183834,87650751,3,11,14,0.028136699583580106,0.02813934517490016,2.645591320054458e-06,9.154541761257498e-16
inlet,61550,183835,87650752,3,3,6,0.05626301204845791,0.056278373131896084,1.5361083438171497e-05,5.315396930997159e-15
inlet,61550,183835,87650752,3,7,10,0.02813651293447348,0.02813897277685961,2.459842386129396e-06,8.511794576597459e-16
inlet,61550,183835,87650752,3,11,14,0.02813608836130296,0.0281394907699425,3.4024086395384456e-06,1.1773357337321797e-15
inlet,61550,183835,87650752,3,12,13,0.02813365724669193,0.028138882365241924,5.225118549993801e-06,1.8080481898638393e-15
inlet,61551,183840,87650757,3,3,6,0.05626382344152349,0.0562786559174179,1.48324758944135e-05,5.1324828203419756e-15
inlet,61551,183840,87650757,3,7,10,0.02813710572909681,0.028138749060012572,1.6433309157626308e-06,5.686419282478164e-16
inlet,61551,183840,87650757,3,11,14,0.028136109883947893,0.028139644941428954,3.535057481060533e-06,1.2232362229759748e-15
inlet,61552,183841,87650758,3,3,6,0.056263663894531794,0.05627922051914578,1.5556624613985437e-05,5.38306005970735e-15
inlet,61552,183841,87650758,3,7,10,0.028137288534494015,0.02813895136001608,1.6628255220633992e-06,5.753876484256398e-16
inlet,61552,183841,87650758,3,11,14,0.02813562028955082,0.02813991503204915,4.294742498328619e-06,1.486110090276052e-15
inlet,61552,183841,87650758,3,12,13,0.028135012832533193,0.028139305490397167,4.292657863974592e-06,1.4853887440837573e-15
inlet,61553,183842,87650759,3,3,6,0.05626257647314794,0.05627996752867779,1.7391055529850097e-05,6.017828336278472e-15
inlet,61553,183842,87650759,3,7,10,0.028136874140581768,0.02813973156668946,2.85742610769274e-06,9.887553846390075e-16
inlet,61553,183842,87650759,3,9,8,0.028130961133373156,0.02814023596424834,9.274830875184714e-06,3.209370469726637e-15
inlet,61553,183842,87650759,3,11,14,0.028135554769993045,0.028139844454198207,4.289684205162347e-06,1.4843597686870637e-15
inlet,61553,183842,87650759,3,12,13,0.028134045795003237,0.028140123075169172,6.077280165935756e-06,2.102921742001163e-15
inlet,61554,183843,87650760,3,3,6,0.05626240918520435,0.056280258289430056,1.7849104225704793e-05,6.176326963148968e-15
inlet,61554,183843,87650760,3,7,10,0.02813699016351024,0.028139812675035254,2.8225115250128663e-06,9.766738888011241e-16
inlet,61554,183843,87650760,3,9,8,0.0281308729714455,0.028140445617953508,9.57264650800621e-06,3.31242363697711e-15
inlet,61554,183843,87650760,3,11,14,0.02813501716870832,0.028140093416082753,5.076247374433129e-06,1.756534285074886e-15
inlet,61554,183843,87650760,3,12,13,0.028134556837969466,0.02814016487339267,5.6080354232032614e-06,1.9405489461338587e-15
inlet,61570,183877,87650798,9,9,8,0.02813339587159691,0.028137176154459573,3.7802828626622154e-06,1.3080915813896355e-15
inlet,61570,183877,87650798,9,12,13,0.028132358672031774,0.028137193430434113,4.834758402339628e-06,1.672971836742254e-15
inlet,61571,183878,87650799,9,9,8,0.028134021837357914,0.02813775910116474,3.7372638068272623e-06,1.2932056940575423e-15
inlet,61571,183878,87650799,9,12,13,0.028131666399327022,0.02813774817490759,6.0817755805665785e-06,2.1044772906855e-15
inlet,61572,183879,87650800,7,7,10,0.02813682324701005,0.02813834965919048,1.5264121804303699e-06,5.281845289072954e-16
inlet,61572,183879,87650800,7,11,14,0.02813665236823773,0.02813801162330506,1.3592550673312276e-06,4.703431396890301e-16
inlet,61574,183884,87650805,7,7,10,0.02813672238174491,0.028138151348170812,1.428966425902345e-06,4.944653666723026e-16
inlet,61574,183884,87650805,7,11,14,0.028136684432966345,0.028138073838041646,1.389405075300637e-06,4.807759493586855e-16
inlet,61575,183885,87650806,3,3,6,0.05626331213255272,0.05627866958662352,1.5357454070795418e-05,5.314141060713665e-15
inlet,61575,183885,87650806,3,7,10,0.02813659721423951,0.02813920402936165,2.6068151221386726e-06,9.020364452588549e-16
inlet,61575,183885,87650806,3,11,14,0.028136606384444273,0.028139213201055224,2.606816610951218e-06,9.02036960432779e-16
inlet,61576,183886,87650807,3,3,6,0.056263209271508643,0.05627880597654815,1.559670503950561e-05,5.3969290925565295e-15
inlet,61576,183886,87650807,3,7,10,0.028136656490314216,0.028139329352118506,2.6728618042898278e-06,9.248905839673535e-16
inlet,61576,183886,87650807,3,11,14,0.028136624785437374,0.028139128567901888,2.5037824645142426e-06,8.663840464984607e-16
inlet,61577,183887,87650808,3,3,6,0.05626207134671871,0.0562790452297424,1.697388302368541e-05,5.873474100596505e-15
inlet,61577,183887,87650808,3,7,10,0.02813612903990014,0.02813985222734497,3.723187444827636e-06,1.2883348493887025e-15
inlet,61577,183887,87650808,3,9,8,0.028132256454501518,0.02813919300625793,6.936551756413917e-06,2.4002555591960483e-15
inlet,61577,183887,87650808,3,11,14,0.0281360055515366,0.028139330477853455,3.3249263168555476e-06,1.1505245194156306e-15
inlet,61577,183887,87650808,3,12,13,0.02813174446317302,0.028139714753200745,7.970290027723564e-06,2.7579600959163877e-15
inlet,61580,183892,87650813,3,11,14,0.028137573645892693,0.028138296215444496,7.22569551803165e-07,2.5003079981601333e-16
inlet,61580,183892,87650813,3,12,13,0.02813140869845731,0.02813830140512192,6.892706664610171e-06,2.385083838571591e-15
inlet,61581,183893,87650814,3,3,6,0.056263968518641946,0.05627903372061522,1.5065201973273046e-05,5.213013044027831e-15
inlet,61581,183893,87650814,3,7,10,0.02813674862973318,0.028139505148933982,2.75651920080347e-06,9.538385595755609e-16
inlet,61581,183893,87650814,3,11,14,0.028137217132670977,0.028138811243032066,1.5941103610889185e-06,5.516101357764275e-16
inlet,61582,183894,87650815,3,11,14,0.028137053449447873,0.02813764718711055,5.937376626775903e-07,2.054510909153396e-16
inlet,61582,183894,87650815,3,12,13,0.028131434692770192,0.028137607307258332,6.1726144881396605e-06,2.135910285140126e-15
inlet,61583,183895,87650816,3,3,6,0.05626373319357022,0.05627864473034912,1.4911536778898504e-05,5.159840264525192e-15
inlet,61583,183895,87650816,3,7,10,0.028136130290190117,0.02813959981832588,3.469528135763289e-06,1.200561098380422e-15
inlet,61583,183895,87650816,3,9,8,0.028134164822255486,0.028139044914758653,4.880092503167094e-06,1.68865879927831e-15
inlet,61583,183895,87650816,3,11,14,0.02813714726897998,0.02813873190178085,1.5846328008731203e-06,5.483306148567499e-16
inlet,61584,183900,87650821,3,3,6,0.05626282870727682,0.05627863544999243,1.5806742715611388e-05,5.469608446422426e-15
inlet,61584,183900,87650821,3,7,10,0.028136082843781933,0.028139612393175268,3.529549393335024e-06,1.22133025893967e-15
inlet,61584,183900,87650821,3,9,8,0.028133190396207063,0.028139023059902547,5.832663695484741e-06,2.018277085161681e-15
inlet,61584,183900,87650821,3,11,14,0.02813666868974748,0.028139010546791833,2.3418570443516085e-06,8.103529804055507e-16
inlet,61584,183900,87650821,3,12,13,0.028131425577989876,0.028139624906553598,8.19932856372177e-06,2.8372143188509292e-15
inlet,61585,183901,87650822,3,3,6,0.056261475371433126,0.056281544149461155,2.0068778028028977e-05,6.9444008665411104e-15
inlet,61585,183901,87650822,3,7,10,0.028135594906838833,0.02814052477283237,4.929865993538035e-06,1.705881924133246e-15
inlet,61585,183901,87650822,3,9,8,0.028132494195322436,0.028141019378801785,8.52518347934858e-06,2.949969921373668e-15
inlet,61585,183901,87650822,3,11,14,0.028136369334904213,0.028140390469663906,4.021134759692874e-06,1.391433582587306e-15
inlet,61585,183901,87650822,3,12,13,0.02813148006481502,0.028141153684971366,9.673620156348123e-06,3.347363556590754e-15
inlet,61586,183902,87650823,3,3,6,0.05626244224017299,0.05628022620602813,1.7783965855139305e-05,6.153787127571123e-15
inlet,61586,183902,87650823,3,7,10,0.02813553538002792,0.028139911020194225,4.375640166306288e-06,1.5141031167981784e-15
inlet,61586,183902,87650823,3,9,8,0.028133557405132587,0.028140315187284957,6.757782152370245e-06,2.3383958988072485e-15
inlet,61586,183902,87650823,3,11,14,0.028136982383185467,0.028139862374156166,2.8799909706986315e-06,9.965635059901253e-16
inlet,61586,183902,87650823,3,12,13,0.028131213622912137,0.028140363834105713,9.150211193575952e-06,3.1662483113299824e-15
inlet,61587,183903,87650824,3,3,6,0.05626111868409281,0.05628209378001444,2.0975095921631215e-05,7.258014119769723e-15
inlet,61587,183903,87650824,3,7,10,0.02813497688548766,0.02814084173199257,5.864846504909094e-06,2.0294133052814145e-15
inlet,61587,183903,87650824,3,9,8,0.0281328675964893,0.028141252049517326,8.384453028024985e-06,2.901272952043728e-15
inlet,61587,183903,87650824,3,11,14,0.028136362207976558,0.02814055396639954,4.191758422981279e-06,1.4504745024448859e-15
inlet,61587,183903,87650824,3,12,13,0.028131334299399513,0.028141539822247878,1.020552284836454e-05,3.53141788766141e-15
inlet,61588,183940,87650861,3,3,6,0.056262816178128526,0.056278345489376956,1.5529311248430044e-05,5.373608813639149e-15
inlet,61588,183940,87650861,3,7,10,0.0281366295845017,0.028138992984969427,2.363400467726706e-06,8.178076529195096e-16
inlet,61588,183940,87650861,3,9,8,0.028131861344084977,0.028139352505555795,7.491161470817714e-06,2.5921672030399715e-15
inlet,61588,183940,87650861,3,11,14,0.028136044711341502,0.028139431354102677,3.3866427611752015e-06,1.171880265580876e-15
inlet,61588,183940,87650861,3,12,13,0.028132670874086836,0.028138914137650774,6.243263563937562e-06,2.1603569904904e-15
inlet,61589,183941,87650862,3,3,6,0.056261717163849735,0.056279871563531494,1.8154399681759303e-05,6.281968374231147e-15
inlet,61589,183941,87650862,3,7,10,0.028136228402826473,0.02814024378454757,4.015381721098749e-06,1.3894428581823379e-15
inlet,61589,183941,87650862,3,9,8,0.02813122074891547,0.028139627782354723,8.407033439253309e-06,2.909086453547498e-15
inlet,61589,183941,87650862,3,11,14,0.02813546915213519,0.02813973359493858,4.264442803391527e-06,1.4756254844129945e-15
inlet,61589,183941,87650862,3,12,13,0.02813292109169407,0.028140137970045487,7.216878351416767e-06,2.497256993291012e-15
inlet,61590,183942,87650863,3,3,6,0.05626139824672813,0.05628144676079467,2.0048514066541012e-05,6.9373889263263125e-15
inlet,61590,183942,87650863,3,7,10,0.028136362441152182,0.028140444042544534,4.081601392352113e-06,1.4123568563237132e-15
inlet,61590,183942,87650863,3,9,8,0.028131994170731454,0.02814100272102262,9.008550291164652e-06,3.117229377935728e-15
inlet,61590,183942,87650863,3,11,14,0.02813563608205933,0.028140488548301007,4.852466241676845e-06,1.6790992818047382e-15
inlet,61590,183942,87650863,3,12,13,0.028131896881786418,0.02814095821445306,9.061332666641941e-06,3.1354936675447246e-15
inlet,61591,183943,87650864,3,3,6,0.0562603213300555,0.05628276950308056,2.2448173025060858e-05,7.767743107715652e-15
