port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028130259647369142,0.02813534384209844,5.084194729297609e-06,1.75928430891443e-15
inlet,61526,183797,87650694,9,12,13,0.02813186249854374,0.02813533462642985,3.4721278861088445e-06,1.2014606902004745e-15
inlet,61527,183798,87650695,9,9,8,0.02813086767585806,0.02813534277582357,4.475099965508406e-06,1.548519199072871e-15
inlet,61527,183798,87650695,9,12,13,0.028131202966459577,0.028135338686624097,4.135720164520629e-06,1.4310835793866864e-15
inlet,61528,183799,87650696,7,7,10,0.028134822468501797,0.0281362123058812,1.3898373794028751e-06,4.809255395817673e-16
inlet,61528,183799,87650696,7,11,14,0.02813489020557657,0.028136323845360998,1.4336397844288973e-06,4.960824892971141e-16
inlet,61540,183823,87650736,9,9,8,0.028129541141048094,0.028135333684184877,5.792543136783068e-06,2.0043941650244964e-15
inlet,61540,183823,87650736,9,12,13,0.02813306517015492,0.028135358535837384,2.2933656824639104e-06,7.935735105722416e-16
inlet,61543,183826,87650743,3,7,10,0.028135092583364198,0.028135690390242482,5.978068782844237e-07,2.0685916191730942e-16
inlet,61543,183826,87650743,3,9,8,0.028129426050666692,0.028135661515450158,6.235464783465455e-06,2.1576583778597343e-15
inlet,61544,183827,87650744,3,7,10,0.028135457646374554,0.028136085559458797,6.279130842432035e-07,2.1727681477372246e-16
inlet,61544,183827,87650744,3,9,8,0.028129258756317076,0.028136061392595068,6.802636277992297e-06,2.3539167754845767e-15
inlet,61547,183832,87650749,3,7,10,0.028135295284670115,0.028135916985293448,6.217006233329159e-07,2.1512711642793878e-16
inlet,61547,183832,87650749,3,9,8,0.028129998938090043,0.028135859275221917,5.8603371318743935e-06,2.027852926569467e-15
inlet,61548,183833,87650750,7,7,10,0.02813507769538622,0.028136694998750076,1.6173033638572365e-06,5.596356123797887e-16
inlet,61548,183833,87650750,7,11,14,0.028134729090463752,0.02813726234144434,2.5332509805894854e-06,8.765810394734582e-16
inlet,61549,183834,87650751,3,3,6,0.056260312013569916,0.056275122160825856,1.4810147255940598e-05,5.124756439784906e-15
