port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028132078171183735,0.028137162459407394,5.084288223659167e-06,1.7593166607758395e-15
inlet,61526,183797,87650694,9,12,13,0.028133681482136755,0.028137153233585708,3.471751448953092e-06,1.2013304316213546e-15
inlet,61527,183798,87650695,9,9,8,0.028132686406367288,0.028137161387063476,4.474980696188291e-06,1.5484779283004901e-15
inlet,61527,183798,87650695,9,12,13,0.02813302177706641,0.028137157297177313,4.135520110904595e-06,1.431014354817926e-15
inlet,61528,183799,87650696,7,7,10,0.028136641395138988,0.02813803084132111,1.3894461821234438e-06,4.807901735558698e-16
inlet,61528,183799,87650696,7,11,14,0.028136709151641816,0.0281381424255252,1.4332738833833236e-06,4.959558765290422e-16
inlet,61540,183823,87650736,9,9,8,0.028131359435042146,0.028137152311883434,5.792876841288069e-06,2.004509636821058e-15
inlet,61540,183823,87650736,9,12,13,0.028134884329111598,0.028137177136486592,2.29280737499421e-06,7.933803193938366e-16
inlet,61543,183826,87650743,3,7,10,0.02813691133725,0.0281375088913653,5.975541153002695e-07,2.0677169832168148e-16
inlet,61543,183826,87650743,3,9,8,0.02813124433220742,0.0281374800637054,6.235731497980512e-06,2.157750669104717e-15
inlet,61544,183827,87650744,3,7,10,0.028137276421397038,0.028137904092738978,6.276713419399449e-07,2.171931646651865e-16
inlet,61544,183827,87650744,3,9,8,0.028131077026518018,0.028137879982873554,6.802956355536627e-06,2.354027531942848e-15
inlet,61547,183832,87650749,3,7,10,0.02813711404801097,0.028137735513905356,6.214658943848317e-07,2.1504589315125488e-16
inlet,61547,183832,87650749,3,9,8,0.028131817435772092,0.028137677852178185,5.860416406093527e-06,2.027880357833856e-15
inlet,61548,183833,87650750,7,7,10,0.02813689664058869,0.028138513534235927,1.6168936472354956e-06,5.594938381043904e-16
inlet,61548,183833,87650750,7,11,14,0.02813654815758016,0.028139080971825197,2.532814245035514e-06,8.764299158347786e-16
inlet,61549,183834,87650751,3,3,6,0.056263948530167265,0.05627875936932446,1.4810839157192168e-05,5.124995858430339e-15
inlet,61549,183834,87650751,3,7,10,0.028137177559025683,0.028138810680818575,1.6331217928926278e-06,5.651092646443795e-16
inlet,61549,183834,87650751,3,11,14,0.02813667817682354,0.028139323773620932,2.6455967973917915e-06,9.154560714492254e-16
inlet,61550,183835,87650752,3,3,6,0.056262969256884655,0.056278330327516966,1.5361070632310958e-05,5.315392499784212e-15
inlet,61550,183835,87650752,3,7,10,0.02813649152765469,0.02813895137568313,2.4598480284389324e-06,8.511814100685661e-16
inlet,61550,183835,87650752,3,11,14,0.02813606695387085,0.028139469368356422,3.4024144855704375e-06,1.1773377566350974e-15
inlet,61550,183835,87650752,3,12,13,0.02813363584067828,0.028138860962448903,5.225121770622426e-06,1.80804930429822e-15
inlet,61551,183840,87650757,3,3,6,0.05626378064670758,0.056278613113188915,1.4832466481332074e-05,5.132479563132657e-15
inlet,61551,183840,87650757,3,7,10,0.028137084323586303,0.028138727659068666,1.6433354823632007e-06,5.68643508428977e-16
inlet,61551,183840,87650757,3,11,14,0.02813608847642099,0.028139623539875785,3.535063454795928e-06,1.2232382900681115e-15
inlet,61552,183841,87650758,3,3,6,0.0562636210999184,0.05627917771510652,1.555661518812257e-05,5.383056798075268e-15
inlet,61552,183841,87650758,3,7,10,0.028137267129010074,0.028138929959216668,1.6628302065939404e-06,5.753892694141178e-16
inlet,61552,183841,87650758,3,11,14,0.02813559888178623,0.028139893630455645,4.294748669416565e-06,1.4861122256581076e-15
inlet,61552,183841,87650758,3,12,13,0.0281349914246822,0.02813928408795143,4.292663269230695e-06,1.4853906144649592e-15
inlet,61553,183842,87650759,3,3,6,0.05626253368203723,0.05627992472525079,1.7391043213563218e-05,6.017824074472738e-15
inlet,61553,183842,87650759,3,7,10,0.028136852733800517,0.028139710165934445,2.8574321339278064e-06,9.887574698976096e-16
inlet,61553,183842,87650759,3,9,8,0.028130939734435728,0.028140214561576362,9.274827140633851e-06,3.209369177459703e-15
inlet,61553,183842,87650759,3,11,14,0.02813553336235508,0.028139823052623813,4.2896902687321325e-06,1.4843618668646015e-15
inlet,61553,183842,87650759,3,12,13,0.02813402438833764,0.02814010167331658,6.0772849789399175e-06,2.102923407445378e-15
inlet,61554,183843,87650760,3,3,6,0.05626236639433248,0.056280215486094146,1.7849091761668046e-05,6.1763226502173356e-15
inlet,61554,183843,87650760,3,7,10,0.028136968756875238,0.028139791274371682,2.8225174964445487e-06,9.76675955096107e-16
inlet,61554,183843,87650760,3,9,8,0.02813085157259753,0.028140424215281144,9.572642683614019e-06,3.312422313622374e-15
inlet,61554,183843,87650760,3,11,14,0.0281349957611985,0.028140072014472006,5.076253273506026e-06,1.7565363263315523e-15
