port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028131928366819197,0.028137012647349385,5.0842805301883065e-06,1.7593139986035023e-15
inlet,61526,183797,87650694,9,12,13,0.028133531639937884,0.028137003422363173,3.4717824252891716e-06,1.2013411503654062e-15
inlet,61527,183798,87650695,9,9,8,0.028132536584994223,0.028137011575504873,4.474990510650034e-06,1.5484813243994724e-15
inlet,61527,183798,87650695,9,12,13,0.028132871949102255,0.028137007485675207,4.135536572951598e-06,1.4310200511813674e-15
inlet,61528,183799,87650696,7,7,10,0.02813649155762693,0.028137881035999904,1.3894783729741234e-06,4.808013125585058e-16
inlet,61528,183799,87650696,7,11,14,0.028136559312531062,0.02813799261652372,1.433303992659507e-06,4.959662952442887e-16
inlet,61540,183823,87650736,9,9,8,0.028131209649589116,0.02813700249897049,5.7928493813752535e-06,2.0045001348652295e-15
inlet,61540,183823,87650736,9,12,13,0.028134734472482378,0.028137027325799473,2.2928533170950283e-06,7.933962167426581e-16
inlet,61543,183826,87650743,3,7,10,0.028136761513953293,0.02813735908886803,5.975749147388298e-07,2.0677889555307049e-16
inlet,61543,183826,87650743,3,9,8,0.028131094547779158,0.028137330257329687,6.235709550529711e-06,2.15774307462656e-15
inlet,61544,183827,87650744,3,7,10,0.02813712659636105,0.028137754287595518,6.276912344685415e-07,2.1720004807844818e-16
inlet,61544,183827,87650744,3,9,8,0.028130927243022887,0.02813773017303982,6.802930016931719e-06,2.354018417993284e-15
inlet,61547,183832,87650749,3,7,10,0.02813696422393622,0.02813758570914603,6.214852098090917e-07,2.1505257686905681e-16
inlet,61547,183832,87650749,3,9,8,0.028131667633557955,0.0281375280434407,5.860409882745693e-06,2.027878100559283e-15
inlet,61548,183833,87650750,7,7,10,0.02813674680154893,0.028138363728910955,1.616927362026871e-06,5.595055044363472e-16
inlet,61548,183833,87650750,7,11,14,0.028136398308508285,0.02813893115869149,2.5328501832046213e-06,8.764423515223098e-16
inlet,61549,183834,87650751,3,3,6,0.05626364896513585,0.05627845974735766,1.4810782221805208e-05,5.124976157073835e-15
inlet,61549,183834,87650751,3,7,10,0.028137027721241128,0.028138660875098975,1.6331538578474858e-06,5.651203600832742e-16
inlet,61549,183834,87650751,3,11,14,0.028136528329396327,0.02813917396453885,2.6456351425244162e-06,9.154693400185353e-16
inlet,61550,183835,87650752,3,3,6,0.056262669715625824,0.05627803069660708,1.5360980981253547e-05,5.315361477821644e-15
inlet,61550,183835,87650752,3,7,10,0.028136341679791767,0.028138801567320407,2.459887528640653e-06,8.511950783265275e-16
inlet,61550,183835,87650752,3,11,14,0.028135917101714498,0.028139319557126164,3.402455411666283e-06,1.177351918295317e-15
inlet,61550,183835,87650752,3,12,13,0.028133485998451817,0.028138711142769373,5.225144317555497e-06,1.8080571062152743e-15
inlet,61551,183840,87650757,3,3,6,0.05626348108274776,0.05627831348332975,1.4832400581990535e-05,5.132456759978232e-15
inlet,61551,183840,87650757,3,7,10,0.028136934484882647,0.028138577852333986,1.6433674513392782e-06,5.686545706563266e-16
inlet,61551,183840,87650757,3,11,14,0.028135938623601094,0.028139473728875784,3.5351052746906975e-06,1.2232527610096441e-15
inlet,61552,183841,87650758,3,3,6,0.0562633215373765,0.05627887808657565,1.5556549199144398e-05,5.3830339639038725e-15
inlet,61552,183841,87650758,3,7,10,0.028137117290492345,0.02813878015349369,1.6628630013434953e-06,5.754006173839299e-16
inlet,61552,183841,87650758,3,11,14,0.028135449027302292,0.02813974381917333,4.2947918710393995e-06,1.4861271747191133e-15
inlet,61552,183841,87650758,3,12,13,0.028134841569593273,0.02813913427070295,4.29270110967675e-06,1.4854037083975347e-15
inlet,61553,183842,87650759,3,3,6,0.05626223414401674,0.05627962510100624,1.7390956989500606e-05,6.017794238353454e-15
inlet,61553,183842,87650759,3,7,10,0.028136702886200557,0.02813956036052219,2.857474321632525e-06,9.887720681124484e-16
inlet,61553,183842,87650759,3,9,8,0.02813078994174828,0.028140064742743953,9.274800995672655e-06,3.209360130516689e-15
inlet,61553,183842,87650759,3,11,14,0.028135383508757605,0.02813967324147532,4.289732717713962e-06,1.4843765554891798e-15
inlet,61553,183842,87650759,3,12,13,0.02813387454154711,0.028139951860220513,6.077318673403803e-06,2.102935066743412e-15
inlet,61554,183843,87650760,3,3,6,0.05626206685798402,0.056279915862487075,1.7849004503057986e-05,6.1762924561135154e-15
inlet,61554,183843,87650760,3,7,10,0.02813681891029918,0.028139641469599564,2.8225593003833316e-06,9.766904205163884e-16
inlet,61554,183843,87650760,3,9,8,0.028130701780536428,0.028140274396446063,9.572615909635152e-06,3.3124130490203246e-15
inlet,61554,183843,87650760,3,11,14,0.028134845908498095,0.028139922203069042,5.076294570947187e-06,1.7565506164884212e-15
inlet,61554,183843,87650760,3,12,13,0.028134385580426066,0.0281399936594634,5.60807903733293e-06,1.940564037934637e-15
inlet,61570,183877,87650798,9,9,8,0.028133224629441338,0.028137004941666995,3.78031222565689e-06,1.3081017418690318e-15
inlet,61570,183877,87650798,9,12,13,0.028132187458526643,0.02813702221694673,4.8347584200858496e-06,1.6729718428829802e-15
inlet,61571,183878,87650799,9,9,8,0.028133850580323812,0.02813758788927417,3.7373089503585366e-06,1.2932213150772807e-15
inlet,61571,183878,87650799,9,12,13,0.028131495204384037,0.02813757696093628,6.081756552242523e-06,2.104470706313005e-15
inlet,61572,183879,87650800,7,7,10,0.028136652001571665,0.028138178447466772,1.5264458951072535e-06,5.281961951996345e-16
inlet,61572,183879,87650800,7,11,14,0.028136481125439112,0.028137840418787523,1.3592933484109226e-06,4.703563860940995e-16
inlet,61574,183884,87650805,7,7,10,0.02813655113761693,0.028137980139162144,1.4290015452125826e-06,4.944775190100337e-16
inlet,61574,183884,87650805,7,11,14,0.02813651318945743,0.028137902630466432,1.3894410090010967e-06,4.807883834999303e-16
inlet,61575,183885,87650806,3,3,6,0.05626296979382276,0.056278327158409545,1.535736458678494e-05,5.3141100965543596e-15
inlet,61575,183885,87650806,3,7,10,0.028136425960510338,0.028139032820183506,2.6068596731682048e-06,9.020518612551678e-16
inlet,61575,183885,87650806,3,11,14,0.02813643513047362,0.028139041991073737,2.606860600117694e-06,9.020521820075738e-16
inlet,61576,183886,87650807,3,3,6,0.056262866931847864,0.05627846354847772,1.559661662985795e-05,5.396898500159078e-15
inlet,61576,183886,87650807,3,7,10,0.028136485235980502,0.028139158140927538,2.6729049470361477e-06,9.24905512655314e-16
inlet,61576,183886,87650807,3,11,14,0.028136453532182096,0.0281389573599985,2.5038278164031535e-06,8.663997396162086e-16
inlet,61577,183887,87650808,3,3,6,0.056261729037626766,0.05627870279042512,1.697375279835489e-05,5.8734290387149675e-15
inlet,61577,183887,87650808,3,7,10,0.0281359577802901,0.028139681013615393,3.723233325293729e-06,1.2883507254100552e-15
inlet,61577,183887,87650808,3,9,8,0.028132085231760202,0.028139021780670397,6.936548910194129e-06,2.4002545743183878e-15
inlet,61577,183887,87650808,3,11,14,0.028135834291719668,0.028139159264032963,3.324972313294844e-06,1.1505404355672e-15
