port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028130822181234562,0.028135906404908637,5.084223674074739e-06,1.7592943246779762e-15
inlet,61526,183797,87650694,9,12,13,0.02813242517475123,0.02813589718609677,3.4720113455399826e-06,1.201420363658108e-15
inlet,61527,183798,87650695,9,9,8,0.028131430273713735,0.02813590533675486,4.475063041124716e-06,1.548506422125429e-15
inlet,61527,183798,87650695,9,12,13,0.02813176558911255,0.028135901247342793,4.1356582302434775e-06,1.431062148263809e-15
inlet,61528,183799,87650696,7,7,10,0.028135385127076442,0.02813677484334567,1.3897162692289022e-06,4.808836318185787e-16
inlet,61528,183799,87650696,7,11,14,0.028135452870165906,0.028136886396671595,1.4335265056883428e-06,4.960432914454578e-16
inlet,61540,183823,87650736,9,9,8,0.028130103603763737,0.028135896250211588,5.792646447851102e-06,2.004429913761633e-15
inlet,61540,183823,87650736,9,12,13,0.028133627900652932,0.02813592109348992,2.2931928369863963e-06,7.935137008378297e-16
inlet,61543,183826,87650743,3,7,10,0.02813565518845697,0.028136252917082806,5.977286258347647e-07,2.0683208421589373e-16
inlet,61543,183826,87650743,3,9,8,0.02812998850952693,0.02813622405688212,6.235547355189219e-06,2.1576869501599143e-15
inlet,61544,183827,87650744,3,7,10,0.028136020258011013,0.02813664809625466,6.27838243647677e-07,2.1725091767646521e-16
inlet,61544,183827,87650744,3,9,8,0.028129821211666645,0.028136623947036928,6.802735370282226e-06,2.3539510643975885e-15
inlet,61547,183832,87650749,3,7,10,0.028135857892690054,0.02813647952064408,6.216279540248448e-07,2.151019706614534e-16
inlet,61547,183832,87650749,3,9,8,0.028130561463865125,0.028136421825539378,5.86036167425294e-06,2.027861418970679e-15
inlet,61548,183833,87650750,7,7,10,0.028135640359708464,0.02813725753622876,1.6171765202972754e-06,5.595917206925879e-16
inlet,61548,183833,87650750,7,11,14,0.02813529179252914,0.028137824908301433,2.533115772293537e-06,8.765342533359945e-16
inlet,61549,183834,87650751,3,3,6,0.05626143691689947,0.05627624727835998,1.4810361460511345e-05,5.124830561009658e-15
