port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028131734135211146,0.028136818405764038,5.08427055289154e-06,1.759310546158704e-15
inlet,61526,183797,87650694,9,12,13,0.028133337359264314,0.028136809181861327,3.471822597012758e-06,1.2013550509901326e-15
inlet,61527,183798,87650695,9,9,8,0.02813234233132865,0.0281368173345672,4.4750032385486305e-06,1.5484857286352419e-15
inlet,61527,183798,87650695,9,12,13,0.028132677686889006,0.02813681324481081,4.135557921804839e-06,1.4310274385267622e-15
inlet,61528,183799,87650696,7,7,10,0.028136297283031436,0.02813768680315131,1.3895201198751983e-06,4.808157582420245e-16
inlet,61528,183799,87650696,7,11,14,0.028136365035862296,0.028137798378902335,1.4333430400394198e-06,4.959798068122837e-16
inlet,61540,183823,87650736,9,9,8,0.028131015442506513,0.02813680825627642,5.7928137699066184e-06,2.004487812225889e-15
inlet,61540,183823,87650736,9,12,13,0.028134540173094767,0.028136833085991998,2.292912897230992e-06,7.934168332618721e-16
inlet,61543,183826,87650743,3,7,10,0.028136567257793083,0.028137164859681575,5.976018884919221e-07,2.067882292830109e-16
inlet,61543,183826,87650743,3,9,8,0.028130900342025512,0.028137136023113456,6.235681087943257e-06,2.1577332257154924e-15
inlet,61544,183827,87650744,3,7,10,0.02813693233794523,0.02813756005497738,6.277170321485059e-07,2.172089748517101e-16
inlet,61544,183827,87650744,3,9,8,0.028130733038479374,0.028137535934339063,6.802895859688712e-06,2.354006598559754e-15
inlet,61547,183832,87650749,3,7,10,0.02813676996676704,0.028137391477026076,6.215102590356736e-07,2.1506124465493487e-16
inlet,61547,183832,87650749,3,9,8,0.028131473404738667,0.02813733380616165,5.860401422981554e-06,2.027875173226421e-15
inlet,61548,183833,87650750,7,7,10,0.02813655252497221,0.028138169496057446,1.616971085235952e-06,5.595206339818833e-16
inlet,61548,183833,87650750,7,11,14,0.028136204018921446,0.02813873691571121,2.5328967897635113e-06,8.764584787936111e-16
inlet,61549,183834,87650751,3,3,6,0.05626326055858913,0.0562780712669744,1.4810708385271099e-05,5.1249506074120295e-15
inlet,61549,183834,87650751,3,7,10,0.028136833446292253,0.028138466641733736,1.633195441483326e-06,5.651347492721107e-16
inlet,61549,183834,87650751,3,11,14,0.028136334041942365,0.02813897972681297,2.6456848706037095e-06,9.154865474297914e-16
inlet,61550,183835,87650752,3,3,6,0.05626228133990864,0.0562776422046259,1.5360864717262057e-05,5.315321246983368e-15
inlet,61550,183835,87650752,3,7,10,0.02813614739177277,0.02813860733052742,2.4599387546501983e-06,8.512128040667086e-16
inlet,61550,183835,87650752,3,11,14,0.02813572280812758,0.028139125316614413,3.402508486832073e-06,1.1773702838991813e-15
inlet,61550,183835,87650752,3,12,13,0.02813329171774247,0.028138516891300105,5.225173557634605e-06,1.808067224162187e-15
inlet,61551,183840,87650757,3,3,6,0.056263092677590776,0.056277924992711274,1.4832315120498485e-05,5.132427187731301e-15
inlet,61551,183840,87650757,3,7,10,0.028136740208741844,0.028138383617652342,1.6434089104983007e-06,5.686689167724399e-16
