port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028130972540149013,0.028136056771556082,5.084231407069539e-06,1.7592970005267855e-15
inlet,61526,183797,87650694,9,12,13,0.028132575571694338,0.028136047551904447,3.4719802101089436e-06,1.2014095898624148e-15
inlet,61527,183798,87650695,9,9,8,0.028131580649724076,0.028136055702900332,4.475053176255378e-06,1.5485030085839026e-15
inlet,61527,183798,87650695,9,12,13,0.02813191597174782,0.02813605161343147,4.135641683649521e-06,1.4310564226445788e-15
inlet,61528,183799,87650696,7,7,10,0.028135535519308745,0.02813692520322165,1.3896839129064198e-06,4.808724355577215e-16
inlet,61528,183799,87650696,7,11,14,0.028135603264005132,0.028137036760246755,1.4334962416227837e-06,4.960328191684312e-16
inlet,61540,183823,87650736,9,9,8,0.028130253943669543,0.028136046617718357,5.792674048814284e-06,2.0044394645251306e-15
inlet,61540,183823,87650736,9,12,13,0.028133778312100555,0.028136071458759414,2.293146658859102e-06,7.934977218167478e-16
inlet,61543,183826,87650743,3,7,10,0.028135805566400794,0.028136403274120408,5.977077196135661e-07,2.0682485003449986e-16
inlet,61543,183826,87650743,3,9,8,0.028130138848402715,0.028136374417818077,6.235569415362352e-06,2.157694583643388e-15
inlet,61544,183827,87650744,3,7,10,0.02813617063770309,0.028136798455952034,6.278182489438677e-07,2.1724399890750648e-16
inlet,61544,183827,87650744,3,9,8,0.02812997154960451,0.02813677431144866,6.802761844146993e-06,2.3539602251511316e-15
inlet,61547,183832,87650749,3,7,10,0.028136008271415915,0.028136629879955313,6.216085393986881e-07,2.1509525261681122e-16
inlet,61547,183832,87650749,3,9,8,0.028130711820618146,0.028136572188849216,5.8603682310705285e-06,2.027863687826794e-15
inlet,61548,183833,87650750,7,7,10,0.028135790753476324,0.02813740789610856,1.6171426322347804e-06,5.595799944036117e-16
inlet,61548,183833,87650750,7,11,14,0.028135442196380544,0.028137975276030073,2.5330796495290353e-06,8.765217537729042e-16
inlet,61549,183834,87650751,3,3,6,0.0562617375908063,0.05627654800949454,1.4810418688240845e-05,5.124850363525475e-15
inlet,61549,183834,87650751,3,7,10,0.028136071681183122,0.02813770503977701,1.6333585938881068e-06,5.651912049117892e-16
inlet,61549,183834,87650751,3,11,14,0.028135572227769794,0.028138218107747328,2.645879977534321e-06,9.155540602965994e-16
inlet,61550,183835,87650752,3,3,6,0.056260758493085,0.05627611890164195,1.5360408556951144e-05,5.315163401794489e-15
inlet,61550,183835,87650752,3,7,10,0.028135385575383212,0.028137845715122022,2.4601397388100688e-06,8.512823506316273e-16
inlet,61550,183835,87650752,3,11,14,0.028134960969892178,0.028138363686618484,3.4027167263063485e-06,1.177442341021124e-15
inlet,61550,183835,87650752,3,12,13,0.028132529930032082,0.028137755218312615,5.225288280532453e-06,1.8081069217357073e-15
