port,property_row,cell_index_zero_based,tree_id,normal_index_one_based,incoming_pdf_index_one_based,outgoing_storage_pdf_index_one_based,old_outgoing_pdf,replacement_incoming_equilibrium_pdf,domain_mass_delta_lattice,signed_port_mass_flow_kg_s
inlet,61526,183797,87650694,9,9,8,0.028128401549024393,0.028133485647993825,5.0840989694322936e-06,1.7592511731205743e-15
inlet,61526,183797,87650694,9,12,13,0.02813000392928075,0.02813347644272434,3.472513443590619e-06,1.2015941046867375e-15
inlet,61527,183798,87650695,9,9,8,0.02812900936581072,0.028133484587935055,4.4752221243365975e-06,1.548561469701963e-15
inlet,61527,183798,87650695,9,12,13,0.028129344574373993,0.028133480499438913,4.13592506491936e-06,1.4311544810880516e-15
inlet,61528,183799,87650696,7,7,10,0.02813296395757449,0.028134354195629235,1.3902380547464732e-06,4.810641853029666e-16
inlet,61528,183799,87650696,7,11,14,0.028133031674750467,0.028134465689301127,1.4340145506608337e-06,4.962121696863324e-16
inlet,61540,183823,87650736,9,9,8,0.028127683278092102,0.02813347547943895,5.792201346846437e-06,2.0042758954253805e-15
inlet,61540,183823,87650736,9,12,13,0.028131206421279434,0.02813350035879617,2.2939375167348175e-06,7.937713824307504e-16
inlet,61543,183826,87650743,3,7,10,0.028133234249373796,0.028133832315138996,5.980657651998011e-07,2.0694874457734844e-16
inlet,61543,183826,87650743,3,9,8,0.02812756820046569,0.028133803392072342,6.235191606650953e-06,2.1575638504647578e-15
inlet,61544,183827,87650744,3,7,10,0.028133599290735296,0.0281342274514188,6.281606835037423e-07,2.1736249156565467e-16
inlet,61544,183827,87650744,3,9,8,0.028127400917730635,0.028134203226175762,6.802308445127275e-06,2.353803335452067e-15
inlet,61547,183832,87650749,3,7,10,0.028133436940995585,0.028134058882034907,6.219410393221159e-07,2.152103075919149e-16
inlet,61547,183832,87650749,3,9,8,0.028128140866510935,0.028134001122447686,5.860255936750852e-06,2.0278248306143726e-15
inlet,61548,183833,87650750,7,7,10,0.028133219165443778,0.028134836888451,1.6177230072224325e-06,5.59780821607019e-16
inlet,61548,183833,87650750,7,11,14,0.028132870435653653,0.028135404133951058,2.533698297405018e-06,8.767358245469224e-16
inlet,61549,183834,87650751,3,3,6,0.05625659636077825,0.05627140579936875,1.4809438590501767e-05,5.124511220226414e-15
inlet,61549,183834,87650751,3,7,10,0.028133500114758146,0.028135134025326563,1.633910568416691e-06,5.653822047020731e-16
inlet,61549,183834,87650751,3,11,14,0.028133000495354513,0.028135647035414293,2.646540059780128e-06,9.157824686089227e-16
inlet,61550,183835,87650752,3,3,6,0.056255617672283445,0.056270976537567505,1.535886528405972e-05,5.3146293829524084e-15
inlet,61550,183835,87650752,3,7,10,0.028132813835467563,0.028135274655172238,2.4608197046749325e-06,8.515176392742433e-16
inlet,61550,183835,87650752,3,11,14,0.02813238915606829,0.02813579257730627,3.403421237977572e-06,1.1776861232510783e-15
inlet,61550,183835,87650752,3,12,13,0.02812995828714339,0.028135183963552267,5.2256764088778884e-06,1.8082412258181286e-15
inlet,61551,183840,87650757,3,3,6,0.056256428503679165,0.05627125934908719,1.4830845408021764e-05,5.131918623005404e-15
inlet,61551,183840,87650757,3,7,10,0.028133406856709422,0.02813505097860658,1.6441218971575966e-06,5.68915631603195e-16
inlet,61551,183840,87650757,3,11,14,0.028132410662295698,0.02813594675448974,3.536092194042495e-06,1.2235942647919001e-15
inlet,61552,183841,87650758,3,3,6,0.05625626899176963,0.05627182398367993,1.555499191029791e-05,5.382495095119739e-15
inlet,61552,183841,87650758,3,7,10,0.028133589666707114,0.028135253303641642,1.6636369345283952e-06,5.756684215458155e-16
inlet,61552,183841,87650758,3,11,14,0.028131921026725737,0.028136216838125352,4.295811399615546e-06,1.4864799622738794e-15
inlet,61552,183841,87650758,3,12,13,0.028131313554739423,0.028135607148857142,4.293594117719263e-06,1.485712716041926e-15
inlet,61553,183842,87650759,3,3,6,0.05625518217709674,0.05627257109926503,1.7388922168286303e-05,6.017090129005883e-15
inlet,61553,183842,87650759,3,7,10,0.028133175048082056,0.02813603351800323,2.858469921172835e-06,9.891165755010298e-16
inlet,61553,183842,87650759,3,9,8,0.028127263399524045,0.028136537583519142,9.274183995097024e-06,3.209146629758143e-15
inlet,61553,183842,87650759,3,11,14,0.028131855529100757,0.028136146263585432,4.290734484675013e-06,1.4847231969908536e-15
inlet,61553,183842,87650759,3,12,13,0.028130346722530085,0.028136424836369037,6.078113838951793e-06,2.103210217941596e-15
inlet,61554,183843,87650760,3,3,6,0.05625501493052168,0.05627286187579041,1.784694526873326e-05,6.175579899095393e-15
inlet,61554,183843,87650760,3,7,10,0.028133291096343684,0.028136114642187363,2.8235458436783045e-06,9.770317941716713e-16
inlet,61554,183843,87650760,3,9,8,0.028127175253093356,0.02813674723715831,9.571984064954409e-06,3.3121944117548995e-15
inlet,61554,183843,87650760,3,11,14,0.028131317950011517,0.02813639521917379,5.077269162271497e-06,1.7568878544023393e-15
inlet,61554,183843,87650760,3,12,13,0.028130857677008403,0.028136466656661967,5.608979653563828e-06,1.940875678241064e-15
inlet,61570,183877,87650798,9,9,8,0.02812969704377685,0.02813347796233741,3.780918560562785e-06,1.3083115519850254e-15
inlet,61570,183877,87650798,9,12,13,0.02812866046448372,0.028133495223269748,4.834758786029236e-06,1.6729719695103997e-15
inlet,61571,183878,87650799,9,9,8,0.028130322687423243,0.028134060928570712,3.7382411474697064e-06,1.2935438833182345e-15
inlet,61571,183878,87650799,9,12,13,0.028127968593642496,0.0281340499572664,6.081363623903352e-06,2.104334741288367e-15
inlet,61572,183879,87650800,7,7,10,0.02813312434811834,0.028134651490209182,1.5271420908437305e-06,5.284370998660234e-16
inlet,61572,183879,87650800,7,11,14,0.02813295352649592,0.028134313610334624,1.3600838387056724e-06,4.706299195140309e-16
inlet,61574,183884,87650805,7,7,10,0.02813302351122315,0.028134453237969273,1.4297267461223229e-06,4.947284603388472e-16
inlet,61574,183884,87650805,7,11,14,0.02813298557584702,0.028134375758873648,1.3901830266289938e-06,4.810451439190729e-16
inlet,61575,183885,87650806,3,3,6,0.056255917628692066,0.05627127314546707,1.535551677500635e-05,5.31347069809679e-15
inlet,61575,183885,87650806,3,7,10,0.02813289813585594,0.028135505915490876,2.6077796349346927e-06,9.023701956988226e-16
inlet,61575,183885,87650806,3,11,14,0.02813290730083271,0.028135515069792325,2.607768959612955e-06,9.023665017163877e-16
inlet,61576,183886,87650807,3,3,6,0.0562558147474954,0.05627140953849985,1.559479100445016e-05,5.396266778853169e-15
inlet,61576,183886,87650807,3,7,10,0.028132957398842518,0.028135631194670725,2.673795828207065e-06,9.252137843381571e-16
inlet,61576,183886,87650807,3,11,14,0.02813292571731347,0.02813543048162934,2.504764315871405e-06,8.667237966021276e-16
inlet,61577,183887,87650808,3,3,6,0.05625467748450992,0.05627164854820357,1.697106369365209e-05,5.872498527599529e-15
inlet,61577,183887,87650808,3,7,10,0.02813242983419851,0.02813615401493743,3.724180738920446e-06,1.2886785590231012e-15
inlet,61577,183887,87650808,3,9,8,0.028128558046992796,0.028135494537130157,6.936490137360307e-06,2.400234237149998e-15
inlet,61577,183887,87650808,3,11,14,0.028132306341355825,0.028135632263477452,3.3259221216275225e-06,1.1508690978205415e-15
inlet,61577,183887,87650808,3,12,13,0.02812804630854028,0.02813601628603636,7.969977496080638e-06,2.7578519505669832e-15
inlet,61580,183892,87650813,3,11,14,0.028133875146796633,0.028134598220466572,7.230736699392892e-07,2.5020523985498587e-16
inlet,61580,183892,87650813,3,12,13,0.02812771094784363,0.02813460331688397,6.892369040341351e-06,2.384967010418841e-15
inlet,61581,183893,87650814,3,3,6,0.05625657350244355,0.056271637342131246,1.5063839687697034e-05,5.21254165224098e-15
inlet,61581,183893,87650814,3,7,10,0.02813304953242016,0.028135806985186067,2.7574527659071646e-06,9.541616011830776e-16
inlet,61581,183893,87650814,3,11,14,0.028133518299123257,0.02813511321311791,1.5949139946513924e-06,5.518882171623409e-16
inlet,61582,183894,87650815,3,11,14,0.028133354967545734,0.02813394918687876,5.942193330270296e-07,2.056177633448897e-16
inlet,61582,183894,87650815,3,12,13,0.028127736989178413,0.028133909212564253,6.172223385839809e-06,2.1357749519800203e-15
inlet,61583,183895,87650816,3,3,6,0.056256338280565456,0.05627124819419407,1.4909913628617655e-05,5.159278605703658e-15
inlet,61583,183895,87650816,3,7,10,0.02813243108481404,0.02813590164967958,3.4705648655382337e-06,1.2009198380673845e-15
inlet,61583,183895,87650816,3,9,8,0.02813046567880975,0.02813534654725222,4.880868442472958e-06,1.6889272976183931e-15
inlet,61583,183895,87650816,3,11,14,0.028133448396621557,0.02813503379717937,1.5854005578144759e-06,5.485962818525877e-16
inlet,61584,183900,87650821,3,3,6,0.056255434354054806,0.05627123888255292,1.5804528498114534e-05,5.468842260564852e-15
inlet,61584,183900,87650821,3,7,10,0.028132383648591955,0.02813591422430466,3.530575712704792e-06,1.2216853963132964e-15
inlet,61584,183900,87650821,3,9,8,0.028129491566668174,0.028135324661336468,5.833094668294264e-06,2.0184262147174377e-15
inlet,61584,183900,87650821,3,11,14,0.02813296958854342,0.028135312392376422,2.3428038330025602e-06,8.106805977581826e-16
inlet,61584,183900,87650821,3,12,13,0.028127727618137317,0.028135926493527117,8.19887538979977e-06,2.837057507042446e-15
inlet,61585,183901,87650822,3,3,6,0.05625408169075799,0.05627414744411001,2.0065753352019322e-05,6.943354237659515e-15
inlet,61585,183901,87650822,3,7,10,0.02813189566602274,0.02813682651209479,4.9308460720494385e-06,1.7062210607789532e-15
inlet,61585,183901,87650822,3,9,8,0.02812879562023773,0.028137320934186895,8.525313949164087e-06,2.9500150678543653e-15
inlet,61585,183901,87650822,3,11,14,0.028132670120023667,0.02813669226403894,4.022144015274759e-06,1.3917828153770463e-15
inlet,61585,183901,87650822,3,12,13,0.028127781957708098,0.02813745518524188,9.67322753378172e-06,3.3472276973726914e-15
inlet,61586,183902,87650823,3,3,6,0.0562550479821341,0.05627282980394808,1.7781821813979415e-05,6.153045224837043e-15
inlet,61586,183902,87650823,3,7,10,0.028131836148068596,0.028136212863115195,4.3767150465987e-06,1.5144750577117522e-15
inlet,61586,183902,87650823,3,9,8,0.028129858443782074,0.0281366169422835,6.758498501426707e-06,2.338643777128564e-15
inlet,61586,183902,87650823,3,11,14,0.02813328331085623,0.028136164304405693,2.8809935494616967e-06,9.96910428399715e-16
inlet,61586,183902,87650823,3,12,13,0.02812751568973462,0.0281366655017741,9.14981203948076e-06,3.1661101920064906e-15
inlet,61587,183903,87650824,3,3,6,0.05625372512430579,0.056274697079610976,2.0971955305183754e-05,7.256927372009159e-15
inlet,61587,183903,87650824,3,7,10,0.028131277679090762,0.02813714344679224,5.865767701476038e-06,2.02973206700317e-15
inlet,61587,183903,87650824,3,9,8,0.028129168858985767,0.028137553634313445,8.38477532767723e-06,2.9013844774181784e-15
inlet,61587,183903,87650824,3,11,14,0.02813266298138388,0.028136855761682813,4.192780298933191e-06,1.450828102262276e-15
inlet,61587,183903,87650824,3,12,13,0.0281276362215427,0.028137841326557188,1.0205105014489402e-05,3.5312733045721693e-15
inlet,61588,183940,87650861,3,3,6,0.05625542187021547,0.05627094893755996,1.5527067344492385e-05,5.372832355380088e-15
inlet,61588,183940,87650861,3,7,10,0.028132930478330247,0.02813529481229858,2.364333968333382e-06,8.181306722091177e-16
inlet,61588,183940,87650861,3,9,8,0.02812816313396486,0.028135654126408473,7.490992443612288e-06,2.5921087145425558e-15
inlet,61588,183940,87650861,3,11,14,0.028132345514437433,0.028135733194411747,3.3876799743134955e-06,1.172239172526097e-15
inlet,61588,183940,87650861,3,12,13,0.028128972279162508,0.02813521574552716,6.2434663646512845e-06,2.1604271656375933e-15
inlet,61589,183941,87650862,3,3,6,0.05625432344678113,0.056272474920058685,1.8151473277557006e-05,6.280955750350914e-15
inlet,61589,183941,87650862,3,7,10,0.028132529176429964,0.028136545620701853,4.016444271889158e-06,1.3898105327173473e-15
inlet,61589,183941,87650862,3,9,8,0.02812752284188408,0.02813592930273154,8.406460847463354e-06,2.9088883195646124e-15
inlet,61589,183941,87650862,3,11,14,0.028131769905495745,0.028136035331324354,4.26542582860831e-06,1.4759656407074e-15
inlet,61589,183941,87650862,3,12,13,0.028129222352352386,0.028136439590186267,7.217237833881396e-06,2.4973813850370064e-15
inlet,61590,183942,87650863,3,3,6,0.056254004596287474,0.05627405001192059,2.0045415633114516e-05,6.936316775159867e-15
inlet,61590,183942,87650863,3,7,10,0.028132663215447697,0.028136745784202992,4.082568755295335e-06,1.4126915930003453e-15
inlet,61590,183942,87650863,3,9,8,0.028128295808875107,0.028137304230488134,9.008421613027062e-06,3.1171848514294836e-15
