port_id,global_remesh_normal_jump_P95_deg,global_remesh_normal_jump_P99_deg,guarded_remesh_normal_jump_P95_deg,guarded_remesh_normal_jump_P99_deg,crossseam_remesh_normal_jump_P95_deg,crossseam_remesh_normal_jump_P99_deg,original_seam_survival_fraction,original_seam_closed_loop_survives
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,9.22436311761124,11.774297518187316,14.091294471758443,91.02083194690125,10.405149573164431,12.67733235421543,0.0,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,12.157247628578412,13.710054676697181,89.34106167246952,91.8498908146606,12.57858279820281,14.403558033006354,0.0,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,10.36750969487339,12.00294341650367,88.86414854184544,91.57156827783085,12.75427527257239,15.900089540416387,0.0,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,9.920375436695537,12.95110573105378,31.321199737163607,91.64705257664146,12.260928437300473,15.269025770173705,0.0,False
