rank,port_id,sample_kind,raw_vertex_id,raw_face_id,sample_x_um,sample_y_um,sample_z_um,closest_x_um,closest_y_um,closest_z_um,nearest_remeshed_face_id,distance_um,distance_from_original_seam_um,closest_point_distance_from_original_seam_um,within_cross_seam_triangle_neighborhood
1,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,RAW_COLLAR_VERTEX,23045,53,163.87890625,95.8371810913086,81.61021423339844,163.88116342518413,95.84320998590663,81.62484797698686,66362,0.015987146752864154,0.0,0.015804637759977966,True
2,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,RAW_COLLAR_VERTEX,22858,24943,101.98297882080078,47.73458480834961,146.55580139160156,101.99500973780785,47.72855941865983,146.56119259530163,62053,0.014495287588741607,0.0,0.014055497998350593,True
3,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,RAW_COLLAR_VERTEX,23020,16,164.02638244628906,95.12188720703125,82.3675537109375,164.0271669722922,95.1343629910447,82.37085665396883,62523,0.01292942769297932,0.0,0.012767321568669315,True
4,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,RAW_COLLAR_VERTEX,22851,24643,102.35944366455078,47.968685150146484,146.33038330078125,102.3670335508012,47.96007598199454,146.3359338770548,66456,0.012748844909682389,0.0,0.012487497462914334,True
5,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,RAW_COLLAR_VERTEX,22814,22944,104.61591339111328,47.59621047973633,146.59190368652344,104.60508832760104,47.59108513715905,146.59585655473066,22824,0.012612545486230722,0.0,0.012540529971249801,True
6,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,RAW_COLLAR_VERTEX,22916,18999,112.56845092773438,121.97300720214844,99.54483032226562,112.57754083493798,121.97390466607538,99.55283951583559,60708,0.012148211230933662,0.0,0.011825220619520781,True
7,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,RAW_COLLAR_VERTEX,23013,9,163.8712158203125,95.90966796875,81.58582305908203,163.87291907234743,95.91421733960287,81.59686560186779,66362,0.012063813403180804,0.0,0.011841878833904423,True
8,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,RAW_COLLAR_VERTEX,22923,19396,112.56768798828125,121.97312927246094,99.54583740234375,112.57670149466952,121.97401919318924,99.55377927851374,60708,0.012046105321371759,0.0,0.011982288620283449,True
9,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,RAW_COLLAR_FACE_CENTER,-1,24943,102.0224380493164,47.65233484903971,146.4032948811849,102.03126854654641,47.64750593749637,146.40861312496648,59624,0.011383311686097545,0.1671572279875003,0.16650227680520457,True
10,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,RAW_COLLAR_VERTEX,22915,18772,112.57121276855469,121.97274017333984,99.54290008544922,112.57972335282693,121.97358043960556,99.55039883271947,60708,0.011373974796670986,0.0,0.010953364180753418,True
