port_id,entity,triangle_id,minimum_angle_deg,aspect_ratio,distance_to_original_interface_um,axial_distance_um,axial_distance_in_D
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,PROXIMAL_GUARD,46338,0.8645764350156006,57.90975481238587,0.055118616178402136,0.05511679888059981,0.017360819441500214
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,PROXIMAL_GUARD,46339,0.6649397841712467,75.14699614404,0.05511734783711052,0.055115188906427554,0.017360312328034307
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,PROXIMAL_GUARD,46379,2.3628438356519035,21.019530650764075,0.05512034233952676,0.0551190682080106,0.01736153423960592
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,PROXIMAL_GUARD,46391,3.034284815173739,16.42658146156707,0.05512631609078591,0.055111210381785236,0.017359059162949223
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,PROXIMAL_GUARD,46416,1.5424577773313848,32.31768369872611,0.05513212350440621,0.055110410195807424,0.017358807118480705
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,PROXIMAL_GUARD,46418,1.6173188615214193,30.816905000111674,0.05512649385132088,0.05511367175383197,0.017359834451727774
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,PROXIMAL_GUARD,46227,1.093211739958137,45.39321634265727,0.0401283735221236,0.040126492933301325,0.017096368908393986
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,PROXIMAL_GUARD,46228,4.774228679485927,10.451135366597509,0.040128539566580794,0.040126168697727796,0.01709623076397684
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,PROXIMAL_GUARD,46254,0.6037251211686269,82.19530670351105,0.04015302795753954,0.04012869773515296,0.017097308290409955
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,PROXIMAL_GUARD,46255,1.6076842257525221,30.87092797407095,0.040150716076554974,0.040129540747631164,0.017097667465889
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,PROXIMAL_GUARD,46272,1.9193264463860447,25.89561358926208,0.04012905632255833,0.04012817895823896,0.017097087259344078
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,PROXIMAL_GUARD,46713,4.494408479780422,11.125943759170598,0.03785545877240644,0.03785290183676271,0.01641700693630484
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,PROXIMAL_GUARD,45894,1.1780914593423966,42.13498887954511,0.04865096924015465,0.048628803865084586,0.019374025444256808
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,PROXIMAL_GUARD,45895,0.493583240488817,100.54075533124674,0.04864535889424724,0.04863099488784606,0.019374898361691657
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,PROXIMAL_GUARD,45896,2.082943141690081,23.83697601102501,0.048645576495833676,0.048633385094475234,0.0193758506352491
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,EXTENSION_BODY,50273,1.358181242549698,49.02038125785871,0.1653561964474192,0.16534431443152003,0.052080542535546816
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,EXTENSION_BODY,50427,2.8393745224890323,24.150929243505306,0.16540428389659947,0.1653518073729503,0.052082902679929266
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,EXTENSION_BODY,50565,1.1683993936834103,81.98551379705043,0.16537587002174944,0.1653528732206605,0.05208323840315748
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,EXTENSION_BODY,52052,1.4330168119271092,62.723050190128234,0.16535396132285907,0.16534894910864661,0.05208200237709056
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,46304,4.104448368021187,18.31950344860447,0.12043301744884001,0.12038471784809053,0.05129133888388755
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,46305,1.8057534113631517,36.773332531146586,0.12039752266428816,0.1203829021288969,0.051290565275159274
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,50441,3.1032323524468395,28.75476107304161,0.12043599174272758,0.12038361544715304,0.051290869192874594
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,50591,2.145145606872316,42.24615934515841,0.12038733984116949,0.1203846530009842,0.05129131125500769
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,51001,1.7503670546989265,43.78572549606377,0.12038771295612548,0.1203814106452887,0.051289929810853216
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,51303,0.7465890306697104,119.59940313934119,0.12039657148952501,0.12038465300098161,0.05129131125500659
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,52020,0.9655121224094877,81.39007007066797,0.12039045868802889,0.12038179972796427,0.05129009558414839
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,EXTENSION_BODY,53150,2.824690064257269,27.161608833820903,0.12047434618332416,0.12038361544715688,0.05129086919287623
