local_node_id,source_radius_um,radius_scale,feed_radius_um,h5_diameter_um,absolute_difference_um,relative_difference
0,1.6354,0.91,1.488214,2.976428,0.14718600000000004,-0.09000000000000002
1,1.6404,0.91,1.4927640000000002,2.9855280000000004,0.14763599999999988,-0.08999999999999993
2,1.6188,0.91,1.473108,2.946216,0.14569199999999993,-0.08999999999999996
3,1.6566,0.91,1.507506,3.015012,0.14909400000000006,-0.09000000000000004
4,1.6367,0.91,1.489397,2.978794,0.14730299999999996,-0.08999999999999997
5,1.6451,0.91,1.497041,2.994082,0.14805899999999994,-0.08999999999999997
6,1.5931,0.91,1.449721,2.899442,0.14337899999999992,-0.08999999999999996
7,1.5218,0.91,1.384838,2.769676,0.13696200000000003,-0.09000000000000001
8,1.4964,0.91,1.361724,2.723448,0.13467600000000002,-0.09000000000000001
9,1.4089,0.91,1.282099,2.564198,0.12680099999999994,-0.08999999999999996
10,1.3551,0.91,1.233141,2.466282,0.12195899999999993,-0.08999999999999996
11,1.2832,0.91,1.1677119999999999,2.3354239999999997,0.11548800000000004,-0.09000000000000004
12,1.2216,0.91,1.111656,2.223312,0.10994400000000004,-0.09000000000000004
13,1.128,0.91,1.0264799999999998,2.0529599999999997,0.10152000000000005,-0.09000000000000005
14,1.1381,0.91,1.035671,2.071342,0.10242899999999988,-0.0899999999999999
15,1.1512,0.91,1.047592,2.095184,0.10360799999999992,-0.08999999999999993
16,1.1613,0.91,1.056783,2.113566,0.10451699999999997,-0.08999999999999997
17,1.1718,0.91,1.066338,2.132676,0.10546199999999994,-0.08999999999999996
18,1.1413,0.91,1.038583,2.077166,0.10271699999999995,-0.08999999999999996
19,1.127,0.91,1.02557,2.05114,0.10142999999999991,-0.08999999999999991
20,1.0993,0.91,1.000363,2.000726,0.09893700000000005,-0.09000000000000005
21,1.068,0.91,0.9718800000000001,1.9437600000000002,0.09611999999999998,-0.08999999999999998
22,1.0734,0.91,0.9767939999999999,1.9535879999999999,0.09660599999999997,-0.08999999999999998
23,1.066,0.91,0.97006,1.94012,0.09594000000000003,-0.09000000000000002
24,1.036,0.91,0.94276,1.88552,0.09323999999999999,-0.08999999999999998
25,1.0,0.91,0.91,1.82,0.08999999999999997,-0.08999999999999997
26,1.035,0.91,0.94185,1.8837,0.09314999999999996,-0.08999999999999997
27,1.044,0.91,0.9500400000000001,1.9000800000000002,0.09395999999999993,-0.08999999999999993
28,1.0538,0.91,0.9589580000000001,1.9179160000000002,0.09484199999999998,-0.08999999999999998
29,1.0528,0.91,0.958048,1.916096,0.09475199999999995,-0.08999999999999996
30,1.0548,0.91,0.9598679999999999,1.9197359999999999,0.09493200000000002,-0.09000000000000002
31,1.0585,0.91,0.9632350000000001,1.9264700000000001,0.09526499999999993,-0.08999999999999994
32,1.0605,0.91,0.965055,1.93011,0.095445,-0.09
33,1.0622,0.91,0.9666020000000001,1.9332040000000001,0.09559799999999996,-0.08999999999999996
34,1.0652,0.91,0.969332,1.938664,0.09586799999999995,-0.08999999999999997
35,1.06,0.91,0.9646000000000001,1.9292000000000002,0.09539999999999993,-0.08999999999999993
36,1.0986,0.91,0.999726,1.999452,0.09887400000000002,-0.09000000000000001
37,1.1452,0.91,1.042132,2.084264,0.10306799999999994,-0.08999999999999994
38,1.1515,0.91,1.047865,2.09573,0.10363499999999992,-0.08999999999999994
39,1.2024,0.91,1.094184,2.188368,0.10821599999999987,-0.0899999999999999
40,1.2159,0.91,1.106469,2.212938,0.10943100000000006,-0.09000000000000005
41,1.2408,0.91,1.129128,2.258256,0.111672,-0.09
42,1.2672,0.91,1.1531520000000002,2.3063040000000004,0.11404799999999993,-0.08999999999999994
43,1.3005,0.91,1.183455,2.36691,0.11704500000000007,-0.09000000000000005
44,1.2827,0.91,1.167257,2.334514,0.11544299999999996,-0.08999999999999997
45,1.2675,0.91,1.1534250000000001,2.3068500000000003,0.11407499999999993,-0.08999999999999994
46,1.2057,0.91,1.0971870000000001,2.1943740000000003,0.10851299999999986,-0.08999999999999989
47,1.1623,0.91,1.0576930000000002,2.1153860000000004,0.1046069999999999,-0.0899999999999999
48,1.1434,0.91,1.040494,2.080988,0.10290599999999994,-0.08999999999999996
49,1.097,0.91,0.99827,1.99654,0.09872999999999998,-0.08999999999999998
50,1.1328,0.91,1.030848,2.061696,0.10195200000000004,-0.09000000000000004
51,1.1478,0.91,1.044498,2.088996,0.103302,-0.09000000000000001
52,1.1757,0.91,1.069887,2.139774,0.10581299999999993,-0.08999999999999994
53,1.2046,0.91,1.0961859999999999,2.1923719999999998,0.10841400000000001,-0.09000000000000001
54,1.2082,0.91,1.099462,2.198924,0.108738,-0.09000000000000001
55,1.2161,0.91,1.106651,2.213302,0.10944899999999991,-0.08999999999999993
56,1.2193,0.91,1.109563,2.219126,0.10973699999999997,-0.08999999999999997
57,1.1886,0.91,1.0816260000000002,2.1632520000000004,0.1069739999999999,-0.08999999999999991
58,1.1807,0.91,1.074437,2.148874,0.106263,-0.09
59,1.1688,0.91,1.063608,2.127216,0.10519199999999995,-0.08999999999999996
60,1.1587,0.91,1.0544170000000002,2.1088340000000003,0.1042829999999999,-0.08999999999999991
61,1.1584,0.91,1.0541440000000002,2.1082880000000004,0.1042559999999999,-0.08999999999999991
62,1.1399,0.91,1.037309,2.074618,0.10259099999999988,-0.0899999999999999
63,1.1294,0.91,1.027754,2.055508,0.1016459999999999,-0.08999999999999991
64,1.1221,0.91,1.021111,2.042222,0.100989,-0.08999999999999998
65,1.1198,0.91,1.019018,2.038036,0.10078199999999993,-0.08999999999999994
66,1.1322,0.91,1.030302,2.060604,0.10189800000000004,-0.09000000000000004
67,1.1369,0.91,1.0345790000000001,2.0691580000000003,0.10232099999999988,-0.0899999999999999
68,1.092,0.91,0.9937200000000002,1.9874400000000003,0.09827999999999992,-0.08999999999999993
69,1.1572,0.91,1.053052,2.106104,0.10414799999999991,-0.08999999999999991
70,1.1617,0.91,1.057147,2.114294,0.1045529999999999,-0.08999999999999991
71,1.119,0.91,1.0182900000000001,2.0365800000000003,0.10070999999999986,-0.08999999999999987
72,1.135,0.91,1.03285,2.0657,0.10214999999999996,-0.08999999999999997
73,1.133,0.91,1.0310300000000001,2.0620600000000002,0.1019699999999999,-0.0899999999999999
74,1.127,0.91,1.02557,2.05114,0.10142999999999991,-0.08999999999999991
