iteration,restart_binary,restart_sha256,R_mass_short,R_mass_long,R_velocity,R_pressure,R_inlet,R_conservation_identity,boundary_window_closure,mean_outlet_01,mean_outlet_02,mean_outlet_03,significant_time_averaged_backflow,minimum_pdf,maximum_lattice_speed,inlet_globbc
319166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_7.792E-03.lsb,fde3152b32fd8862ff5223444e59ea927668ab40ecc88b65e7c2ee5614d39f82,0.04032442496741048,0.04513637679559652,0.004141486746981437,0.0012315527856629014,8.960778305741734e-12,5.101930221603317e-10,nan,,,,False,0.027757076923916605,0.00010958855001662988,287
324166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_7.914E-03.lsb,b972cd3551520f32ed402be75d7ac4ebba6cd751bc91a5d1ebde445a046a72ee,0.03628788353275264,,0.003778488703248682,0.0011248100081546132,1.1814431445949251e-11,5.101930221603317e-10,nan,,,,False,0.0277570664626012,0.00010983067061881865,287
329166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.036E-03.lsb,f81fa6ad3dad665b38938366cb9c46c8fc7e966883ff9445f705859b99a778c7,0.03259411104831911,0.0364280973872233,0.003386585378575431,0.0010091229345323169,7.936146335908163e-12,5.101930221603317e-10,3.072316435621135e-05,2.3877216043892737e-13,1.3216553005047118e-12,1.2533161797482721e-12,False,0.027757057031157637,0.0001100477365316125,287
334166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.158E-03.lsb,2087a41a6d263978db92537bcbcd464d6643641af07fafaa6070e0413055ea9b,0.029273621718261006,0.03278075262550682,0.0030357407482170897,0.0009053616962252964,5.373029183873585e-12,5.101930221603317e-10,2.7662691053003738e-05,2.3977477202176693e-13,1.3276794866438632e-12,1.255892753047589e-12,False,0.02775704853244741,0.00011024236080867651,287
339166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.280E-03.lsb,936ea9c3964ed19908fc438680e1635eed193a18ede3809cdc3dfe2cacb88f64,0.026289229552718094,0.0294416703005186,0.0027215709140808388,0.0008122915751348348,7.059088201337038e-12,5.101930221603317e-10,2.4898246679497326e-05,2.4067825898399747e-13,1.3330855105506366e-12,1.2582146044582866e-12,False,0.02775704087762344,0.000110416880001545,287
344166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.402E-03.lsb,f371be443ad7799cb9eb7682f121bd1af0dc243bb6cf3a541a8fcd27431805db,0.023607345739557493,0.026440483728909246,0.0024401766429254334,0.0007288067328866781,7.01199314216711e-12,5.101930221603317e-10,2.2402977146285547e-05,2.414920573210908e-13,1.3379368245670613e-12,1.2603059787912151e-12,False,0.027757033985608567,0.00011057338418726974,287
349166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.525E-03.lsb,6e8141d27d2ecc923802d67ce197a6497bf2567c8c91865b217d537a9c897661,0.021197652395532705,0.0237434409741254,0.002188086429207401,0.000653916549474732,8.913124254771569e-12,5.101930221603317e-10,2.0152092431799264e-05,2.4222477910548866e-13,1.3422903638051154e-12,1.2621890045055281e-12,False,0.027757027782563004,0.00011071374358852358,287
354166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.647E-03.lsb,fcc1d4ea00d50c8617f05b9e950950cc3360a65a9ff726c1d2396569a05a5fb8,0.019032801373355366,0.021320073556456424,0.0019622069214687275,0.0005867334526719597,1.970585843783849e-11,5.101930221603317e-10,1.812281802322406e-05,2.4288426867352973e-13,1.346197216332332e-12,1.2638838378863881e-12,False,0.02775702220135422,0.00011083963219990639,287
359166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.769E-03.lsb,e84d097f7a04c78feed3a4e0c85ef1b993d9d6e81d2d54fed92c9c38ca63e549,0.01708813722289388,0.01914289480921329,0.0017597796275173037,0.0005264620668503752,1.3710671380301641e-12,5.101930221603317e-10,1.6294251203005547e-05,2.434776586221849e-13,1.3497032242839967e-12,1.2654088067775547e-12,False,0.027757017181039498,0.00011095254877931632,287
364166,\\wsl.localhost\Ubuntu\home\lzy\u3da\f_195500\restart\a3274_8.891E-03.lsb,9182eed8115a6ed9f9cc64d74c7c1b1dd984ca2aa8a2997cfaad5667ca06e15b,0.015341443127696653,0.017187122250526002,0.0015783429974461924,0.00047238953042904284,3.484335638824389e-12,5.101930221603317e-10,1.4647248728950004e-05,2.440114245384889e-13,1.3528495230511376e-12,1.2667805510923454e-12,False,0.027757012666368056,0.00011105383551619849,287
