iteration,physical_time_s,rho_mean,rho_median,rho_p1,rho_p99,mean_speed_m_s,Qin_m3_s,Q1_m3_s,Q2_m3_s,Q3_m3_s,Qout_sum_m3_s,physical_volume_closure,inlet_gauge_pressure_pa,minimum_pdf,maximum_lattice_speed
119751,0.0002441406727828746,1.0000492996770627,1.0000152902673602,0.9999980621260367,1.0001547034953246,0.00017678388025234082,2.728393293928161e-15,1.4176176292788586e-16,1.9936339680927443e-15,5.887849494478998e-16,2.72418068046853e-15,0.0015439905489452936,531.4319296489216,0.027777432554553283,1.2273577774959477e-05
239502,0.0004882813455657492,1.0000492996792836,1.0000152902688781,0.9999980621262521,1.0001547035003837,0.00017678388720172397,2.7283932981416653e-15,1.4176178750521078e-16,1.9936341076940602e-15,5.887850098143704e-16,2.7241809050136416e-15,0.001543909791485264,531.431946778282,0.027777432554529385,1.2273578355130398e-05
359253,0.0007324220183486239,1.0000492996792938,1.0000152902688892,0.9999980621262536,1.0001547035003955,0.00017678388722442936,2.728393297899232e-15,1.4176178768944387e-16,1.9936341081690247e-15,5.887850103757361e-16,2.7241809062342047e-15,0.0015439092554108288,531.4319468188997,0.02777743255452915,1.2273578356358106e-05
479004,0.0009765626911314984,1.0000492996792976,1.0000152902688946,0.9999980621262546,1.0001547035003997,0.00017678388723349364,2.7283932978286654e-15,1.4176178779711591e-16,1.9936341083617434e-15,5.887850105276815e-16,2.724180906686541e-15,0.0015439090637983483,531.4319468324389,0.027777432554529094,1.2273578356823097e-05
598755,0.001220703363914373,1.0000492996793002,1.0000152902688968,0.9999980621262552,1.0001547035004035,0.0001767838872406285,2.728393297831303e-15,1.417617879220853e-16,1.9936341084531973e-15,5.887850107026804e-16,2.724180907077963e-15,0.0015439089213012042,531.431946845226,0.027777432554529028,1.227357835717639e-05
