iteration,short_window_start,short_window_delta_iter,R_mass_short,long_window_start,long_window_delta_iter,R_mass_long,R_velocity,delta_pressure_pa,R_pressure,R_inlet,R_boundary,outlet_01_flow,outlet_02_flow,outlet_03_flow,significant_backflow,max_lattice_speed,minimum_pdf,stage,all_final_gates_pass
319166,309326,9840,0.04032442496741048,299326,19840,0.04513637679559652,0.004141486746981437,0.3537511430113227,0.0012315527856629014,4.1260582254959324e-12,0.028655403093171033,2.3769021944151955e-13,1.4847736904724193e-12,1.2505357543925886e-12,False,0.00010958855001662988,0.027757076923916605,STAGE_2_NEAR,False
324166,314166,10000,0.03628788353275264,,,,0.003778488703248682,0.32351633155849413,0.0011248100081546132,6.308222465669311e-13,0.03236239175280221,2.387994620560262e-13,1.491527731991618e-12,1.2533863361394608e-12,False,0.00010983067061881865,0.0277570664626012,STAGE_2_NEAR,False
329166,319166,10000,0.03259411104831911,309326,19840,0.0364280973872233,0.003386585378575431,0.2905853472366289,0.0010091229345323169,7.973459038573952e-12,0.03569469321508205,2.3979949820214966e-13,1.4975886919972686e-12,1.2559562923215612e-12,False,0.0001100477365316125,0.027757057031157637,STAGE_2_NEAR,False
334166,324166,10000,0.029273621718261006,314166,20000,0.03278075262550682,0.0030357407482170897,0.26098228356204345,0.0009053616962252964,5.392174653031687e-12,0.03868964702848817,2.407006296267506e-13,1.5030277182307687e-12,1.2582720914077293e-12,False,0.00011024236080867651,0.02775704853244741,STAGE_2_NEAR,False
339166,329166,10000,0.026289229552718094,319166,20000,0.0294416703005186,0.0027215709140808388,0.2343756173249858,0.0008122915751348348,7.062442152138457e-12,0.0413809779036787,2.415122784803207e-13,1.507908649786747e-12,1.2603579426961046e-12,False,0.000110416880001545,0.02775704087762344,STAGE_2_NEAR,False
344166,334166,10000,0.023607345739557493,324166,20000,0.026440483728909246,0.0024401766429254334,0.21046589516845415,0.0007288067328866781,7.010735410616577e-12,0.04379912421383306,2.4224304269699643e-13,1.5122887688815986e-12,1.2622359383649084e-12,False,0.00011057338418726974,0.027757033985608567,STAGE_2_NEAR,False
349166,339166,10000,0.021197652395532705,329166,20000,0.0237434409741254,0.002188086429207401,0.18898282492955332,0.000653916549474732,4.775606697370788e-12,0.04597154097257067,2.429007525477036e-13,1.5162194751006911e-12,1.2639261985961502e-12,False,0.00011071374358852358,0.027757027782563004,STAGE_2_NEAR,False
354166,344166,10000,0.019032801373355366,334166,20000,0.021320073556456424,0.0019622069214687275,0.16968259044733713,0.0005867334526719597,3.7884271781530645e-12,0.047922978611909355,2.4349252690174634e-13,1.5197468901593524e-12,1.2654470159883034e-12,False,0.00011083963219990639,0.02775702220135422,STAGE_2_NEAR,False
359166,349166,10000,0.01708813722289388,339166,20000,0.01914289480921329,0.0017597796275173037,0.15234538169170264,0.0005264620668503752,3.478046981071728e-12,0.04967573841253194,2.4402482813756757e-13,1.5229124003609098e-12,1.2668149965374549e-12,False,0.00011095254877931632,0.027757017181039498,STAGE_2_NEAR,False
364166,354166,10000,0.015341443127696653,344166,20000,0.017187122250526002,0.0015783429974461924,0.13677312971412903,0.00047238953042904284,2.249941995952058e-14,0.051249906064736,2.4450351497710905e-13,1.5257531432061702e-12,1.2680451953061556e-12,False,0.00011105383551619849,0.027757012666368056,STAGE_2_NEAR,False
369166,359166,10000,0.013772708546046676,349166,20000,0.015430422884470274,0.0014156991335001138,0.12278743510614731,0.00042387685124480225,2.565772363085701e-13,0.05266356478385637,2.449338927530169e-13,1.528302443913302e-12,1.269151245516963e-12,False,0.00011114469464897063,0.027757008607307208,STAGE_2_NEAR,False
374166,364166,10000,0.01236391720526294,354166,20000,0.013852680166479796,0.001269884496703766,0.11022767790564103,0.0003803511848367201,2.8739165929660915e-12,0.05393298934985082,2.4532076081269463e-13,1.5305902070276291e-12,1.2701454803101209e-12,False,0.00011122620326758192,0.02775700495859553,STAGE_2_NEAR,False
379166,369166,10000,0.0110988540077156,359166,20000,0.01243578127688114,0.0011391440779572183,0.09894929611982661,0.0003412989325750488,1.6231724399368418e-12,0.055072822443495185,2.4566845690229757e-13,1.532643267749972e-12,1.2710390467462516e-12,False,0.00011129932651048635,0.027757001679324406,STAGE_2_NEAR,False
384166,374166,10000,0.00996292949274039,364166,20000,0.011163423349001667,0.0010219085826727692,0.08882222073953017,0.00030625957067998777,1.3181026649577522e-12,0.05609623473897569,2.459808984755167e-13,1.5344857071413043e-12,1.2718420119282125e-12,False,0.00011136492933662012,0.02775699873254866,STAGE_3_FINAL,False
389166,379166,10000,0.00894302050177381,369166,20000,0.010020937254744705,0.0009167742442842172,0.07972945523579256,0.0002748201309169372,3.3827388791313983e-12,0.057015069996631376,2.462616209547009e-13,1.5361391349205672e-12,1.2725634612899775e-12,False,0.0001114237870336484,0.027756996084925722,STAGE_3_FINAL,False
394166,384166,10000,0.00802732570831694,374166,20000,0.008995127600528667,0.0008224849377659302,0.07156578759895638,0.0002466102614784296,7.222174059056047e-13,0.05783997640357116,2.4651381302141606e-13,1.5376229432010602e-12,1.2732115892639644e-12,False,0.00011147659460187256,0.02775699370638296,STAGE_3_FINAL,False
399166,389166,10000,0.007205234813018498,379166,20000,0.008074127657396152,0.0007379163104136028,0.06423662412635167,0.00022129780650878732,1.9220933051133295e-12,0.05858052545163329,2.467403490534104e-13,1.5389545341506552e-12,1.273793782619956e-12,False,0.0001115239751399348,0.02775699156981176,STAGE_3_FINAL,False
404166,394166,10000,0.006467210220196253,384166,20000,0.007247267964256597,0.0006620616856185049,0.05765693455032306,0.0001985848488605433,2.196837774929587e-12,0.05924531930169652,2.469438188498422e-13,1.5401495242641374e-12,1.2743166968399524e-12,False,0.00011156648734011441,0.027756989650787302,STAGE_3_FINAL,False
409166,399166,10000,0.005804680073094633,389166,20000,0.006504957443056566,0.0005940195283374488,0.05175029845122481,0.000178204165744961,4.4369974143775056e-13,0.05984208773864549,2.471265548041305e-13,1.541221927652395e-12,1.2747863259336502e-12,False,0.00011160463219162385,0.027756987927312293,STAGE_3_FINAL,False
414166,404166,10000,0.005209941674312338,394166,20000,0.005838575947254296,0.0005329822883813718,0.04644804419513093,0.00015991605449237436,1.2504646571291314e-12,0.060377775725936715,2.472906566836429e-13,1.5421843205066003e-12,1.2752080661133336e-12,False,0.00011163885897708621,0.027756986379583272,STAGE_3_FINAL,False
419166,409166,10000,0.004676074323757481,399166,20000,0.005240377198426056,0.0004782264625737431,0.041688471857924014,0.00014350548888419473,2.908154840730579e-12,0.060858622293160344,2.4743801418926807e-13,1.5430479886734767e-12,1.275586773760527e-12,False,0.00011166957063870379,0.02775698498977795,STAGE_3_FINAL,False
424166,414166,10000,0.00419686070231118,404166,20000,0.004703401188311759,0.00042910373508870005,0.03741615234321216,0.00012877957108157158,4.969437104102807e-13,0.0612902316941932,2.475703274570211e-13,1.5438230600767174e-12,1.2759268181050364e-12,False,0.00011169712858177671,0.027756983741861772,STAGE_3_FINAL,False
429166,419166,10000,0.0037667159945404837,409166,20000,0.004221395159148982,0.00038503307327543754,0.033581295516341925,0.00011556524789233709,2.417639536023019e-12,0.06167763747654444,2.476891256609603e-13,1.5445186235436794e-12,1.2762321290314654e-12,False,0.00011172185697554356,0.027756982621412605,STAGE_3_FINAL,False
434166,424166,10000,0.003380624050775295,414166,20000,0.003788742376543238,0.0003454936726847009,0.03013918103897595,0.00010370726437328325,3.425082507999316e-12,0.062025360235721395,2.47795783875157e-13,1.545142835432842e-12,1.2765062404065944e-12,False,0.00011174404660527139,0.027756981615461567,STAGE_3_FINAL,False
439166,429166,10000,0.0030340798843341496,419166,20000,0.0034003979394373164,0.0003100186559959131,0.027049645730585326,9.306632928559614e-05,3.974291951731713e-12,0.062337459526761056,2.4789153833810783e-13,1.5457030153157045e-12,1.2767523293068157e-12,False,0.0001117639583222522,0.02775698071234923,STAGE_3_FINAL,False
444166,434166,10000,0.002723037892719518,424166,20000,0.003051830971747406,0.0002781894422394387,0.024276621945318766,8.351747003224458e-05,4.864626141558456e-13,0.06261758066396536,2.479775002587348e-13,1.5462057318378939e-12,1.2769732514926014e-12,False,0.00011178182613549085,0.02775697990159532,STAGE_3_FINAL,False
449166,439166,10000,0.002443865283245388,429166,20000,0.002738972583789769,0.00024963071356101066,0.02178772235492943,7.494855847778435e-05,4.199006655426801e-12,0.06286899678960012,2.480546682901978e-13,1.5466568797680001e-12,1.2771715734702852e-12,False,0.0001117978599815506,0.027756979173781088,STAGE_3_FINAL,False
454166,444166,10000,0.0021933001459273813,434166,20000,0.0024581690193234496,0.00022400591293236972,0.019553866146452492,6.725898827393419e-05,3.48741009372569e-12,0.06309464666302213,2.4812393979558504e-13,1.5470617491388834e-12,1.2773496014332202e-12,False,0.00011181224820760149,0.02775697852044312,STAGE_3_FINAL,False
459166,449166,10000,0.001968413758981247,439166,20000,0.002206139521113317,0.00020101321714923533,0.01754894296027487,6.035848927758896e-05,1.4198391726008019e-12,0.06329716873215822,2.4818612101075964e-13,1.547425087291621e-12,1.277509407391218e-12,False,0.00011182515979654138,0.0277569779339774,STAGE_3_FINAL,False
464166,454166,10000,0.0017665766945047026,444166,20000,0.001979938420216042,0.00018038193332866513,0.015749510745081352,5.4166064481462144e-05,7.841257477818011e-13,0.06347893171111829,2.482419362122229e-13,1.5477511545557465e-12,1.2776528527145438e-12,False,0.00011183674636210832,0.02775697740755298,STAGE_3_FINAL,False
469166,459166,10000,0.001585428331989193,449166,20000,0.0017769210454852194,0.0001618692717090115,0.014134523920802167,4.860903589604786e-05,1.0701898015528484e-12,0.06364206204164043,2.4829203597659883e-13,1.5480437742138245e-12,1.277781609378526e-12,False,0.00011184714393749493,0.027756976935033914,STAGE_3_FINAL,False
469900,459166,10734,0.0015733544373813643,449166,20734,0.0017638913919486847,0.00017242543157943297,0.015056455005833413,5.1779182479387036e-05,2.3522374953953443e-12,0.06366455876678251,2.4829894551628956e-13,1.5480841266993143e-12,1.277799366936455e-12,False,0.0001118485777378498,0.027756976869866154,STAGE_3_FINAL,False
