cluster_id,candidate_count,selected_count,representative_roi_ids
0,1,1,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274
1,4,2,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_004069;raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_006688
2,3,2,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_005405;raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_006485
3,4,0,
4,2,2,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_005133;raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_005895
