node_id,role,component_id,root_node_id,source_index,x_um,y_um,z_um,radius_raw_um,indegree,outdegree
4969,inferred_outlet,0,2410,2559,188.25,78.5,285.0,1.3221,1,0
5000,inferred_outlet,0,2410,2590,1.66,74.1,316.6,4.0906,1,0
5058,divergence_junction,0,2410,2648,75.14,164.1,288.26,1.8997,1,2
5133,divergence_junction,0,2410,2723,49.63,147.91,229.04,6.7429,1,2
5145,divergence_junction,0,2410,2735,52.05,133.7,213.64,6.5638,1,2
5160,divergence_junction,0,2410,2750,36.01,121.86,221.4,7.0898,1,2
5211,divergence_junction,0,2410,2801,88.71,150.97,273.3,4.892,1,2
5237,divergence_junction,0,2410,2827,99.69,180.48,241.58,4.6094,1,2
5243,inferred_outlet,0,2410,2833,106.98,178.35,236.74,4.0503,1,0
5320,divergence_junction,0,2410,2910,24.38,156.57,194.24,1.3157,1,2
5356,inferred_outlet,0,2410,2946,56.54,187.91,199.08,2.9768,1,0
5369,divergence_junction,0,2410,2959,33.17,31.16,112.04,8.5784,1,2
5405,divergence_junction,0,2410,2995,63.08,68.26,163.0,6.1146,1,2
5423,inferred_outlet,0,2410,3013,81.85,77.1,153.64,4.2067,1,0
5490,divergence_junction,0,2410,3080,36.69,128.32,132.16,3.432,1,2
5513,inferred_outlet,0,2410,3103,52.05,155.58,143.0,2.2155,1,0
5597,inferred_outlet,0,2410,3187,39.08,158.77,2.16,2.0993,1,0
5613,inferred_outlet,0,2410,3203,189.92,44.83,100.5,5.725,1,0
5628,inferred_outlet,0,2410,3218,188.9,8.1,79.4,5.5493,1,0
5647,inferred_outlet,0,2410,3237,147.38,189.12,169.76,1.129,1,0
5707,divergence_junction,0,2410,3297,163.07,60.14,199.02,9.8209,1,2
5711,divergence_junction,0,2410,3301,160.66,63.58,210.88,9.4102,1,2
5713,divergence_junction,0,2410,3303,158.42,64.32,215.0,9.0663,1,2
5714,inferred_outlet,0,2410,3304,156.37,64.86,218.0,8.6171,1,0
5733,divergence_junction,0,2410,3323,84.87,63.18,263.2,6.6154,1,2
5750,divergence_junction,0,2410,3340,106.94,65.24,269.0,2.2047,1,2
5889,inferred_outlet,0,2410,3479,188.94,109.31,304.12,1.8835,1,0
5895,divergence_junction,0,2410,3485,46.61,44.61,294.16,3.5753,1,2
5928,divergence_junction,0,2410,3518,36.58,79.21,322.04,1.8362,1,2
5987,inferred_outlet,0,2410,3577,2.75,136.75,340.5,1.3455,1,0
6009,inferred_outlet,0,2410,3599,88.58,25.18,221.44,5.8397,1,0
6016,inferred_outlet,0,2410,3606,189.12,117.58,46.2,1.4355,1,0
6055,divergence_junction,0,2410,3645,51.75,26.1,191.1,5.0766,1,2
6074,divergence_junction,0,2410,3664,42.88,3.62,205.0,8.6071,1,2
6092,inferred_outlet,0,2410,3682,22.95,0.93,244.38,7.7106,1,0
6104,inferred_outlet,0,2410,3694,2.88,53.96,238.7,2.9707,1,0
6124,inferred_outlet,0,2410,3714,2.0,158.73,210.72,1.0869,1,0
6141,divergence_junction,0,2410,3731,33.56,10.0,122.76,8.965,1,2
6157,divergence_junction,0,2410,3747,7.03,9.73,108.2,5.9234,1,2
6161,inferred_outlet,0,2410,3751,5.93,3.07,90.0,5.882,1,0
6203,inferred_outlet,0,2410,3793,61.27,117.1,153.06,2.4581,1,0
6334,divergence_junction,0,2410,3924,72.0,76.0,58.58,8.7615,1,2
6342,divergence_junction,0,2410,3932,71.65,65.94,50.24,8.9542,1,2
6350,divergence_junction,0,2410,3940,73.64,67.18,25.64,9.407,1,2
6355,divergence_junction,0,2410,3945,74.85,73.72,14.72,8.418,1,2
6361,divergence_junction,0,2410,3951,81.5,82.61,23.5,5.1699,1,2
6433,divergence_junction,0,2410,4023,35.93,159.07,47.06,2.6992,1,2
6464,inferred_outlet,0,2410,4054,2.26,131.57,70.54,3.2847,1,0
6485,divergence_junction,0,2410,4075,142.0,44.0,203.5,7.3225,1,2
6506,divergence_junction,0,2410,4096,116.89,27.57,214.68,7.1627,1,2
6530,inferred_outlet,0,2410,4120,118.0,3.0,212.6,7.3994,1,0
6551,inferred_outlet,0,2410,4141,189.0,81.23,214.76,3.3634,1,0
6610,divergence_junction,0,2410,4200,132.02,13.8,249.3,4.2939,1,2
6635,inferred_outlet,0,2410,4225,144.62,2.92,217.5,2.8509,1,0
6652,divergence_junction,0,2410,4242,82.0,85.55,270.08,5.2417,1,2
6681,inferred_outlet,0,2410,4271,80.39,115.92,239.72,3.7003,1,0
6688,divergence_junction,0,2410,4278,106.0,60.6,292.4,1.8826,1,2
6804,divergence_junction,0,2410,4394,154.97,52.55,244.52,8.4361,1,2
6813,inferred_outlet,0,2410,4403,153.79,65.57,221.58,8.0282,1,0
6903,divergence_junction,0,2410,4493,18.92,108.55,366.98,5.6091,1,2
6942,inferred_outlet,0,2410,4532,50.14,141.86,380.86,4.6547,1,0
6972,inferred_outlet,0,2410,4562,2.0,66.83,299.0,3.9186,1,0
6982,divergence_junction,0,2410,4572,62.43,20.1,187.48,4.7216,1,2
6996,inferred_outlet,0,2410,4586,58.86,3.75,167.26,4.856,1,0
6997,inferred_outlet,0,2410,4587,43.27,2.36,204.36,8.5782,1,0
7005,inferred_outlet,0,2410,4595,32.79,2.88,127.58,9.0272,1,0
7008,inferred_outlet,0,2410,4598,3.33,9.33,109.66,5.8662,1,0
7057,inferred_outlet,0,2410,4647,59.96,124.16,108.84,4.4652,1,0
