boundary_index,port_id,boundary_origin,role,global_node_id,global_edge_id,center_um,source_radius_um,planned_extension_length_um,centerline_usage,open_profile_area_um2,open_profile_point_count
0,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,CUT_PORT,ASSUMED_INLET,,814,"[103.26659863945578, 46.999183673469396, 147.18]",1.5873904761904762,15.873904761904763,NOT_GENERATED_BOUNDARY_NORMAL_MODE,7.797449026755203,60
1,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,CUT_PORT,ASSUMED_OUTLET,,897,"[113.4174358974359, 122.04, 100.41025641025641]",1.1735384615384614,11.735384615384614,NOT_GENERATED_BOUNDARY_NORMAL_MODE,4.391259788154457,62
2,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,CUT_PORT,ASSUMED_OUTLET,,1975,"[90.03999999999999, 48.091272727272724, 110.9109090909091]",1.1528563636363636,11.528563636363636,NOT_GENERATED_BOUNDARY_NORMAL_MODE,4.305286066852403,65
3,raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,TRUE_TERMINAL,ASSUMED_OUTLET,4484,2073,"[164.01, 96.36, 82.78]",1.255,12.549999999999999,NOT_GENERATED_BOUNDARY_NORMAL_MODE,5.1012254061352,55
