swc_component_id,node_count,edge_count,total_length_um,bbox_x_um,bbox_y_um,bbox_z_um,bbox_diagonal_um,root_count,root_ids,source_index_min,source_index_max,length_rank,selected_for_analysis,decision,decision_reason
30,19,18,23.15670386986655,19.810000000000002,9.219999999999999,2.9000000000000057,22.04210743100578,1,1584,1583,1601,33,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
31,28,27,40.89396448792519,28.589999999999975,10.08,25.659999999999997,39.7168742476041,1,1603,1602,1629,28,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
32,36,35,54.21072276826225,32.18,26.26,29.19999999999999,50.77184259016014,1,1631,1630,1665,22,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
33,46,45,54.4469422363258,52.290000000000006,6.430000000000007,2.4000000000000057,52.73849637598707,1,1667,1666,1711,21,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
34,17,16,22.836925404352424,11.06,17.789999999999992,6.180000000000007,21.840331957184162,1,1713,1712,1728,34,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
35,100,99,152.4392417392898,101.68,23.140000000000015,74.3,128.0420712109891,1,1730,1729,1828,5,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
36,23,22,38.6288622034764,16.319999999999993,19.629999999999995,19.5,32.12365639213568,1,1830,1829,1851,30,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
37,31,30,39.92051208143768,31.43,9.01000000000002,9.04000000000002,33.92265614600367,1,1853,1852,1882,29,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
38,363,362,559.7640980349279,171.17,85.06,81.89999999999998,207.94706658185873,1,1884,1883,2245,3,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
39,37,36,46.0297520042382,31.569999999999993,15.240000000000009,9.0,36.192851504129926,1,2247,2246,2282,26,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
40,71,70,112.34053411254712,18.58,52.47999999999999,69.84,89.3140100992,1,2284,2283,2353,11,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
41,55,54,96.28377855220023,62.03,39.719999999999985,38.76,83.2330276993454,1,2355,2354,2408,13,False,REFERENCE_ONLY,preserved in reference_swc but outside the current single-network analysis
42,7419,7418,12013.420915836756,189.23,189.29,379.3,464.2275164184045,1,2410,2409,9827,1,True,ANALYSIS_NETWORK,greatest total centerline length; selected for the single-network workflow
