cell_index,tree_id,center_x_m,center_y_m,center_z_m,normalInd,normal_vector,classification,rim_distance_m,rim_distance_over_dx,inside_physical_inlet
183797,87650694,0.0001027827715790346,5.6176359424537685e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,6.3060433790890776e-08,0.3153021689544539,False
183798,87650695,0.00010258277157903459,5.6376359424537689e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,2.7331936052248829e-08,0.13665968026124414,False
183799,87650696,0.0001027827715790346,5.6376359424537689e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,1.0144542763185959e-07,0.50722713815929799,True
183823,87650736,0.00010318277157903459,5.5976359424537686e-05,0.0001585063989408685,9,"(0,1,-1)",diagonal,7.5508560708726638e-08,0.37754280354363323,False
183826,87650743,0.00010338277157903459,5.5976359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.7604249298826957e-08,0.1380212464941348,False
183827,87650744,0.00010358277157903459,5.5976359424537686e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.2115302214837876e-09,0.016057651107418938,False
183832,87650749,0.00010298277157903459,5.6176359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.6502782579556601e-08,0.18251391289778301,True
183833,87650750,0.00010318277157903459,5.6176359424537685e-05,0.0001585063989408685,7,"(0,-1,-1)",diagonal,1.1609090535852815e-07,0.58045452679264076,True
183834,87650751,0.00010298277157903459,5.6376359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,2.1199453837259791e-07,1.0599726918629897,True
183835,87650752,0.00010318277157903459,5.6376359424537689e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,3.0081616867144729e-07,1.5040808433572366,True
183840,87650757,0.00010338277157903459,5.6176359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.6894320388798366e-07,0.84471601943991836,True
183841,87650758,0.00010358277157903459,5.6176359424537685e-05,0.0001585063989408685,3,"(0,0,-1)",clean_cardinal,1.9612674839460944e-07,0.9806337419730472,True
