iteration,physical_time_s,avg_pressure_pa,avg_velocity_m_s,delta_pressure_vs_previous,delta_velocity_vs_previous
162464,0.003966406249999999,23682.001249484,6.021834315937284e-05,,
162564,0.003968847656249999,23682.0048883653,6.022232714730381e-05,0.0036388812986842822,3.983987930971289e-09
162664,0.0039712890624999985,23682.00851911325,6.022630229669531e-05,0.003630747949500801,3.9751493914993085e-09
162764,0.003973730468749999,23682.01214174581,6.02302686268942e-05,0.0036226325610186905,3.966330198890036e-09
162864,0.003976171874999998,23682.01575628124,6.02342261572101e-05,0.003614535427914234,3.957530315901127e-09
162964,0.003978613281249999,23682.01936273728,6.023817490690678e-05,0.0036064560408703983,3.948749696684381e-09
163064,0.003981054687499998,23682.02296113186,6.024211489521104e-05,0.003598394581786124,3.939988304254953e-09
163164,0.003983496093749999,23682.02655148303,6.024604614130426e-05,0.0035903511707147118,3.931246093218652e-09
163264,0.003985937499999998,23682.03013380866,6.024996866433165e-05,0.0035823256293952,3.922523027390231e-09
163364,0.0039883789062499985,23682.03370812643,6.025388248339161e-05,0.0035743177686526906,3.913819059966038e-09
163464,0.003990820312499999,23682.03727445406,6.025778761754922e-05,0.0035663276285049506,3.905134157606855e-09
163564,0.0039932617187499984,23682.04083280951,6.026168408582236e-05,0.00355835545269656,3.8964682731431124e-09
163664,0.003995703124999999,23682.04438321037,6.026557190719055e-05,0.003550400859239744,3.887821368187276e-09
163764,0.003998144531249998,23682.04792567423,6.026945110059312e-05,0.003542463859048439,3.879193402569656e-09
163864,0.004000585937499999,23682.05146021894,6.027332168492837e-05,0.0035345447104191408,3.8705843352532005e-09
163964,0.004003027343749998,23682.0549868618,6.027718367905675e-05,0.00352664286037907,3.861994128378924e-09
164064,0.004005468749999999,23682.05850562057,6.02810371017929e-05,0.0035187587709515356,3.853422736146061e-09
164164,0.004007910156249999,23682.06201651261,6.028488197191583e-05,0.0035108920383208897,3.844870122931795e-09
164264,0.0040103515624999985,23682.06551955548,6.028871830816366e-05,0.0035030428698519245,3.836336247827821e-09
164364,0.004012792968749999,23682.06901476649,6.029254612923223e-05,0.0034952110108861234,3.827821068570585e-09
164464,0.004015234374999998,23682.07250216318,6.029636545378051e-05,0.0034873966906161513,3.819324548283659e-09
164564,0.004017675781249999,23682.07598176287,6.030017630042505e-05,0.00347959969076328,3.810846644540858e-09
164664,0.004020117187499998,23682.07945358285,6.030397868774423e-05,0.0034718199785856996,3.8023873191782645e-09
164764,0.004022558593749999,23682.08291764047,6.030777263427604e-05,0.003464057619567029,3.793946531809348e-09
164864,0.004024999999999998,23682.08637395284,6.031155815851759e-05,0.0034563123699626885,3.785524241546134e-09
164964,0.004027441406249999,23682.08982253722,6.031533527892915e-05,0.0034485843789298087,3.777120411566407e-09
165064,0.004029882812499999,23682.09326341076,6.031910401392734e-05,0.0034408735409670044,3.7687349981835945e-09
165164,0.0040323242187499985,23682.09669659062,6.032286438189601e-05,0.0034331798597122543,3.76036796867512e-09
165264,0.004034765624999999,23682.10012209386,6.032661640117438e-05,0.0034255032405781094,3.7520192783650785e-09
165364,0.004037207031249998,23682.10353993763,6.033036009006137e-05,0.003417843770876061,3.743688886995687e-09
165464,0.004039648437499999,23682.10695013869,6.033409546682116e-05,0.0034102010577043984,3.7353767597843855e-09
165564,0.004042089843749998,23682.11035271435,6.033782254967585e-05,0.0034025756613118574,3.727082854691234e-09
165664,0.004044531249999999,23682.11374768126,6.03415413568093e-05,0.003394966908672359,3.7188071334506726e-09
165764,0.004046972656249998,23682.11713505657,6.034525190636737e-05,0.0033873753127409145,3.710549558068191e-09
165864,0.0040494140624999985,23682.12051485687,6.034895421645656e-05,0.003379800298716873,3.702310089194027e-09
165964,0.004051855468749999,23682.12388709926,6.035264830514397e-05,0.0033722423904691823,3.694088687410655e-09
166064,0.0040542968749999984,23682.12725180047,6.035633419045741e-05,0.0033647012096480466,3.6858853134360756e-09
166164,0.004056738281249999,23682.13060897706,6.03600118903872e-05,0.003357176588906441,3.6776999297907743e-09
166264,0.004059179687499998,23682.13395864597,6.036368142288646e-05,0.0033496689102321398,3.669532499259512e-09
166364,0.004061621093749999,23682.13730082374,6.036734280586922e-05,0.0033421777698094957,3.661382982763576e-09
166464,0.004064062499999998,23682.14063552713,6.037099605720558e-05,0.003334703389555216,3.653251336358898e-09
166564,0.004066503906249999,23682.14396277257,6.037464119473595e-05,0.0033272454420512076,3.645137530372219e-09
166664,0.004068945312499998,23682.14728257688,6.037827823625758e-05,0.003319804309285246,3.6370415216251876e-09
166764,0.0040713867187499985,23682.15059495639,6.03819071995312e-05,0.003312379511044128,3.6289632736208484e-09
166864,0.004073828124999999,23682.15389992765,6.038552810227851e-05,0.0033049712583306246,3.6209027473143706e-09
166964,0.004076269531249998,23682.15719750715,6.038914096218355e-05,0.0032975795002130326,3.612859905036505e-09
167064,0.004078710937499999,23682.16048771135,6.039274579689329e-05,0.003290204200311564,3.6048347097414183e-09
167164,0.004081152343749998,23682.16377055654,6.039634262401478e-05,0.0032828451912791934,3.5968271214898134e-09
167264,0.004083593749999999,23682.16704605916,6.039993146111993e-05,0.0032755026186350733,3.5888371051467634e-09
167364,0.004086035156249998,23682.17031423547,6.040351232574101e-05,0.0032681763113941997,3.580864621084679e-09
167464,0.004088476562499999,23682.17357510184,6.04070852353737e-05,0.0032608663677820005,3.5729096326846317e-09
