port_id,old_custom_P50_deg,old_custom_P95_deg,old_custom_P99_deg,old_custom_max_deg,centerline_vmtk_P50_deg,centerline_vmtk_P95_deg,centerline_vmtk_P99_deg,centerline_vmtk_max_deg,boundarynormal_vmtk_raw_P50_deg,boundarynormal_vmtk_raw_P95_deg,boundarynormal_vmtk_raw_P99_deg,boundarynormal_vmtk_raw_max_deg,boundarynormal_vmtk_final_P50_deg,boundarynormal_vmtk_final_P95_deg,boundarynormal_vmtk_final_P99_deg,boundarynormal_vmtk_final_max_deg,boundarynormal_final_metric_status,boundarynormal_raw_P95_not_worse_than_old,boundarynormal_raw_P99_not_worse_than_old
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_000,4.196955409863445,8.740169404104876,10.323368449440634,11.809251175801576,4.295290925264176,12.388434143947542,15.057193558831694,15.731269679721471,5.14164362669738,9.517244889038269,11.059678093359002,12.628496239975735,,,,,NOT_COMPARABLE_AFTER_GLOBAL_VMTK_REMESH_FACE_CLASSIFICATION_LOST,False,False
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_001,2.508532979677632,6.60883034447163,7.580432511698634,7.624422011421158,3.1008826674158625,8.52442101818168,10.198388454816083,10.368155975420752,2.048946795750941,6.73178318935144,7.420096725417787,7.928049464546071,,,,,NOT_COMPARABLE_AFTER_GLOBAL_VMTK_REMESH_FACE_CLASSIFICATION_LOST,False,True
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__cut_002,3.1508346391430617,7.973971293913098,9.65743809137262,9.952889225362107,46.075100109455434,58.11045441452286,67.06036319934184,70.75074779167028,3.399627535864314,8.020938025921987,8.710690291107285,8.85400587044201,,,,,NOT_COMPARABLE_AFTER_GLOBAL_VMTK_REMESH_FACE_CLASSIFICATION_LOST,False,True
raw-analysis__fMOST_0_5_6_0_0_6_0001_02_01__anchor_003274__terminal_000,4.577727506408254,8.196974449295423,9.192361093750891,9.73936507351149,5.077800624144385,11.93348689238583,12.682482956839092,12.833741519827853,5.288121081894284,8.673248043438395,9.141808717482355,9.330523908015495,,,,,NOT_COMPARABLE_AFTER_GLOBAL_VMTK_REMESH_FACE_CLASSIFICATION_LOST,False,True
