hotspot_id,center_x_um,center_y_um,center_z_um,distance_to_original_um,local_normal_deviation_deg,nearest_original_face_id,previous_final_face_id,distance_from_nearest_CFD_boundary_um
0,127.86613210042317,86.42945607503255,88.69239552815755,0.020521157130192404,12.679789826432454,7340,43894,37.94669037306343
1,132.13319396972656,81.23352559407552,86.0696792602539,0.0102425925704889,20.936140795833534,5029,98035,35.43674618641093
2,151.12686157226562,90.55249277750652,86.74571736653645,0.017187673000441266,12.161299720916654,35998,85827,14.67751035151155
3,131.7062530517578,79.68282826741536,87.95436350504558,0.015149055441782303,13.657659643693536,5208,70275,36.72103159739026
4,130.07105000813803,79.39554341634114,87.89000447591145,0.012942634570652499,15.42017602797441,5911,12178,38.28520940876239
5,96.66364288330078,52.96423212687174,106.55091857910156,0.013613668526715979,14.847980168808618,45345,83055,9.307410790262423
6,92.68776957194011,46.81784184773763,116.76833089192708,0.014998744248052179,13.481808088648602,33629,98838,6.552991688235699
7,122.72576395670573,94.84318288167317,92.86371358235677,0.01641868246728305,12.20278621993193,39057,6122,29.719726467113208
