global_edge_id,parent_node_id,child_node_id,length_um,radius_parent_um,radius_child_um,resistance_pa_s_m3,flow_rate_m3_s,flow_rate_pL_s,mean_velocity_parent_mm_s,mean_velocity_child_mm_s,flow_sign_parent_to_child
0,2410,2411,1.2630518595845566,4.1541,4.216,36211752192775.43,3.7949128479236406e-14,37.94912847923641,0.699999999999988,0.6795958676781025,1
1,2411,2412,1.3174976280813597,4.216,4.4741,32598678739270.39,3.794912847923682e-14,37.94912847923682,0.6795958676781099,0.6034489839778876,1
2,2412,2413,1.5428869044748443,4.4741,4.5631,32554474903497.9,3.794912847923684e-14,37.94912847923684,0.6034489839778879,0.5801388651253563,1
3,2413,2414,1.7481704722366203,4.5631,4.7406,32866977219154.617,3.7949128479237396e-14,37.949128479237395,0.5801388651253648,0.537508466651478,1
4,2414,2415,2.0400245096566896,4.7406,4.9927,32050746764365.812,3.7949128479237e-14,37.949128479237,0.5375084666514723,0.4845973018337452,1
5,2415,2416,4.93274771298918,4.9927,5.3254,61442309714969.72,3.7949128479236e-14,37.949128479236,0.48459730183373245,0.42593905789284453,1
6,2416,2417,2.418470591096773,5.3254,5.357,26130631310526.887,3.7949128479235926e-14,37.949128479235924,0.42593905789284364,0.4209287998734535,1
7,2417,2418,4.292330369391438,5.357,5.2305,48083701090832.445,3.794912847923642e-14,37.94912847923642,0.42092879987345894,0.4415353920979228,1
8,2418,2419,5.4529349895262795,5.2305,5.1319,66556695406525.875,3.7949128479236576e-14,37.94912847923658,0.44153539209792464,0.4586649604049566,1
9,2419,2420,1.4103191128251729,5.1319,5.095,18139778025179.54,2.6853852026131567e-15,2.6853852026131566,0.03245640010685689,0.03292822662651736,1
10,2420,2421,1.0389417693018221,5.095,5.1402,13320050574160.342,2.6853852026120262e-15,2.6853852026120264,0.03292822662650349,0.032351668529368605,1
11,2421,2422,0.9937806599043951,5.1402,5.2398,12047756643033.027,2.6853852026113013e-15,2.685385202611301,0.03235166852935987,0.031133453494698222,1
12,2422,2423,1.0192153844992775,5.2398,5.1521,12298751003916.049,2.685385202609518e-15,2.685385202609518,0.031133453494677547,0.03220239337999463,1
13,2423,2424,1.1130588483993096,5.1521,5.1144,14096775045850.889,2.6853852026138576e-15,2.6853852026138574,0.032202393380046664,0.03267889296844298,1
14,2424,2425,1.1881498222025682,5.1144,4.9181,16521923901248.098,2.6853852026132206e-15,2.6853852026132206,0.03267889296843523,0.03533963085654524,1
15,2425,2426,1.339776100697421,4.9181,4.789,21242325351289.277,2.6853852026130352e-15,2.6853852026130354,0.0353396308565428,0.03727065667529708,1
16,2426,2427,1.5394804318340682,4.789,4.7721,25919046549791.23,2.6853852026110974e-15,2.6853852026110974,0.037270656675270186,0.037535106046193104,1
17,2427,2428,4.259401366389398,4.7721,4.3052,89048778250610.4,1.6767821853699628e-15,1.6767821853699627,0.023437306902202294,0.028796527162105835,1
18,2428,2429,3.8798582448331835,4.3052,3.9032,121207457544611.62,1.6767821853697125e-15,1.6767821853697125,0.028796527162101536,0.03503363237157469,1
19,2429,2430,2.5835827836553005,3.9032,3.4267,127711778255219.19,1.6767821853700343e-15,1.6767821853700344,0.035033632371581414,0.045454261843521464,1
20,2430,2431,4.127493185942272,3.4267,2.8565,383000704130564.0,6.449439777245171e-16,0.6449439777245171,0.01748316071918614,0.025159595952164427,1
21,2431,2432,0.9711848433743292,2.8565,2.6888,144943243695309.72,6.449439777243367e-16,0.6449439777243368,0.02515959595215739,0.028395866138679532,1
22,2432,2433,1.0572133181151337,2.6888,2.5923,191434521335033.7,6.449439777244578e-16,0.6449439777244578,0.02839586613868486,0.03054932363808638,1
23,2433,2434,1.258967831201392,2.5923,2.6423,235985045669635.9,6.449439777244618e-16,0.6449439777244619,0.030549323638086566,0.029404098545680473,1
24,2434,2435,1.374954544703224,2.6423,2.4956,278354423277962.9,6.449439777247108e-16,0.6449439777247108,0.029404098545691825,0.032962653498314426,1
25,2435,2436,1.2979214151866025,2.4956,2.369,326822829985289.0,6.449439777247786e-16,0.6449439777247786,0.03296265349831789,0.03657985651952884,1
26,2436,2437,1.3739723432442015,2.369,2.2348,431533487130279.3,6.449439777247521e-16,0.6449439777247521,0.03657985651952733,0.04110501336420966,1
27,2437,2438,1.3573503600765777,2.2348,2.0977,543825686099342.06,6.449439777247081e-16,0.644943977724708,0.04110501336420685,0.04665362161715112,1
28,2438,2439,1.402176878999224,2.0977,1.7985,873109025039645.0,6.449439777247537e-16,0.6449439777247538,0.04665362161715442,0.06346747707372294,1
29,2439,2440,1.496061496062238,1.7985,1.8517,1186484596438091.5,6.44943977724761e-16,0.644943977724761,0.06346747707372366,0.05987297883847688,1
30,2440,2441,1.7677669529663789,1.8517,1.7847,1423972798667483.8,6.449439777247567e-16,0.6449439777247566,0.059872978838476476,0.06445278261074287,1
31,2441,2442,2.2980426453832354,1.7847,1.6183,2430227885310047.5,6.449439777247592e-16,0.6449439777247592,0.06445278261074314,0.07838880625884505,1
32,2442,2443,2.4328584011405323,1.6183,1.4503,3899170618285619.0,6.449439777247569e-16,0.6449439777247569,0.07838880625884476,0.09760148493149326,1
33,2443,2444,1.9900753754569056,1.4503,1.3067,4890195190490074.0,6.44943977724755e-16,0.644943977724755,0.09760148493149298,0.12023207349492734,1
34,2444,2445,1.50059988004798,1.3067,1.254,4917168967316444.0,6.449439777247567e-16,0.6449439777247566,0.12023207349492765,0.13055005109295456,1
35,2445,2446,1.2334099075327638,1.254,1.2177,4652736274445057.0,6.449439777247561e-16,0.6449439777247561,0.13055005109295445,0.1384495367823578,1
36,2446,2447,1.058489489791943,1.2177,1.1755,4544567136374841.0,6.449439777247633e-16,0.6449439777247633,0.13844953678235936,0.14856853886405844,1
37,2447,2448,1.0410091258005416,1.1755,1.1871,4701109902051101.0,6.449439777247725e-16,0.6449439777247724,0.14856853886406055,0.14567918701455065,1
38,2448,2449,1.0212247548899265,1.1871,1.1473,4842982047833553.0,6.449439777247701e-16,0.6449439777247701,0.14567918701455013,0.15596176160515593,1
39,2449,2450,1.040624812312301,1.1473,1.1159,5584096197703644.0,6.449439777247699e-16,0.6449439777247699,0.1559617616051559,0.16486237954530997,1
40,2450,2451,1.154512884293618,1.1159,1.1236,6457782271508962.0,6.449439777247679e-16,0.644943977724768,0.16486237954530947,0.16261052728003222,1
41,2451,2452,1.121115515903695,1.1236,1.1019,6432049479535503.0,6.449439777247714e-16,0.6449439777247714,0.1626105272800331,0.16907825344841643,1
42,2452,2453,0.958592718520225,1.1019,1.0882,5862822700068589.0,6.449439777247605e-16,0.6449439777247605,0.1690782534484136,0.17336230632154115,1
43,2453,2454,0.9506313691436955,1.0882,1.0941,5897075385192159.0,6.449439777247632e-16,0.6449439777247632,0.17336230632154184,0.1714976143360475,1
44,2454,2455,1.3427211177307026,1.0941,1.0689,8634317527062835.0,6.449439777247555e-16,0.6449439777247555,0.17149761433604543,0.1796792660711921,1
45,2455,2456,1.8917716564109952,1.0689,1.0618,1.2914194801044394e+16,6.449439777247526e-16,0.6449439777247526,0.1796792660711913,0.18209024368298632,1
46,2456,2457,1.8012495662733727,1.0618,1.0,1.406567673884474e+16,6.449439777247554e-16,0.6449439777247554,0.1820902436829871,0.20529204414448812,1
47,2457,2458,1.439756923928475,1.0,1.0,1.266021149743893e+16,6.449439777247531e-16,0.6449439777247531,0.2052920441444874,0.2052920441444874,1
48,2458,2459,1.1529093633065814,1.0,1.0,1.0137875452623342e+16,6.449439777247509e-16,0.6449439777247509,0.20529204414448668,0.20529204414448668,1
49,2459,2460,1.0006497888872128,1.0,1.0,8799011660671880.0,6.449439777247513e-16,0.6449439777247513,0.2052920441444868,0.2052920441444868,1
50,2460,2461,0.9710303805751896,1.0,1.0,8538559380549458.0,6.449439777247523e-16,0.6449439777247523,0.20529204414448715,0.20529204414448715,1
51,2461,2462,0.9982484660644316,1.0,1.0,8777896113800895.0,6.449439777247536e-16,0.6449439777247536,0.20529204414448757,0.20529204414448757,1
52,2462,2463,1.0331021246711298,1.0,1.0,9084374715908492.0,6.449439777247484e-16,0.6449439777247484,0.2052920441444859,0.2052920441444859,1
53,2463,2464,1.0373041983911955,1.0,1.0,9121324801815148.0,6.449439777247465e-16,0.6449439777247465,0.20529204414448532,0.20529204414448532,1
54,2464,2465,0.9655050491841091,1.0,1.0,8489973495778265.0,6.449439777247459e-16,0.644943977724746,0.20529204414448513,0.20529204414448513,1
55,2465,2466,0.8424369412602921,1.0,1.0,7407798964084494.0,6.449439777247451e-16,0.6449439777247451,0.20529204414448488,0.20529204414448488,1
56,2466,2467,0.741350119714021,1.0,1.0,6518912431149690.0,6.449439777247475e-16,0.6449439777247475,0.2052920441444856,0.2052920441444856,1
57,2467,2468,0.9583840566286561,1.0,1.0,8427356487083676.0,6.449439777247429e-16,0.6449439777247429,0.20529204414448415,0.20529204414448415,1
58,2468,2469,1.4375326083258047,1.0,1.0,1.2640652427780126e+16,6.44943977724743e-16,0.644943977724743,0.20529204414448418,0.20529204414448418,1
